ClaimID|ProjectID|CustomerID|ClaimDate|IssueType|Description|ResolutionDate|ResolutionTimeDays|CostToFix|CoveredByWarranty|CustomerCost|TechnicianID|PreventativeMeasures
243|1153|528|2024-08-09|System Failure|System Failure requiring service under warranty period.|2024-08-11|2|1900.36|Yes|0|178|None
245|58|434|2025-04-02|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-04-09|8|107.51|Yes|0|30|System Reconfiguration
246|421|612|2023-12-22|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-01-04|13|283.6|Yes|0|62|System Reconfiguration
247|402|409|2023-06-26|Software Bug|Software Bug requiring service under warranty period.|2023-07-10|14|24.95|No|24.95|153|Component Replacement
248|308|189|2024-02-24|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-03-02|7|379.26|Yes|0|87|Software Update
249|462|21|2024-01-22|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-01-29|7|503.29|Yes|0|171|Component Replacement
250|214|799|2023-07-24|System Failure|System Failure requiring service under warranty period.|2023-07-25|1|84.02|Yes|0|85|None
251|770|118|2025-03-18|User Error|User Error requiring service under warranty period.|2025-03-22|4|40.24|Yes|0|145|Firmware Patch
252|400|246|2024-09-28|User Error|User Error requiring service under warranty period.|2024-10-06|8|300.26|Yes|0|105|Client Training
253|700|595|2023-05-12|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-05-14|2|453.36|Yes|0|98|Firmware Patch
254|921|678|2023-11-24|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-12-08|14|98.38|Yes|0|84|System Reconfiguration
255|1161|723|2025-02-11|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2025-02-15|4|2145.0|Yes|0|49|Software Update
256|917|792|2024-10-26|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-11-07|12|678.54|Yes|0|26|Client Training
257|50|547|2024-04-20|Software Bug|Software Bug requiring service under warranty period.|2024-05-05|15|446.98|Yes|0|192|Software Update
258|871|593|2024-04-11|User Error|User Error requiring service under warranty period.|2024-04-17|6|24.57|Yes|0|50|Client Training
259|1195|472|2024-08-12|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-08-20|8|132.85|Yes|0|183|None
260|287|738|2023-11-07|Network Problem|Network Problem requiring service under warranty period.|2023-11-10|3|152.31|Yes|0|74|None
261|418|700|2024-06-13|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-06-24|11|61.62|Yes|0|93|Firmware Patch
262|713|509|2025-02-03|Integration Glitch|Integration Glitch requiring service under warranty period.|2025-02-09|6|484.06|Yes|0|187|Firmware Patch
263|26|343|2024-12-23|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-12-28|5|1584.79|Yes|0|160|Software Update
265|77|150|2024-11-01|User Error|User Error requiring service under warranty period.|2024-11-12|11|399.24|Yes|0|186|Client Training
267|908|223|2023-05-02|Network Problem|Network Problem requiring service under warranty period.|2023-05-05|3|365.67|Yes|0|178|System Reconfiguration
268|1198|441|2023-03-02|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-03-07|5|102.81|Yes|0|24|System Reconfiguration
269|97|197|2024-11-25|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-11-30|5|771.62|Yes|0|160|Firmware Patch
270|620|697|2024-10-09|User Error|User Error requiring service under warranty period.|2024-10-21|12|66.44|Yes|0|154|None
271|966|745|2024-08-28|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-09-07|10|275.51|Yes|0|96|Component Replacement
273|172|5|2023-02-28|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-03-05|5|69.71|Yes|0|2|Firmware Patch
274|827|473|2022-08-05|User Error|User Error requiring service under warranty period.|2022-08-17|12|158.15|No|158.15|14|Firmware Patch
275|154|454|2024-11-23|System Failure|System Failure requiring service under warranty period.|2024-11-26|3|854.75|No|854.75|113|Firmware Patch
276|860|303|2025-02-03|System Failure|System Failure requiring service under warranty period.|2025-02-14|11|758.6|Yes|0|114|Component Replacement
277|1197|161|2024-09-28|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-10-04|6|1565.89|Yes|0|103|Software Update
279|216|476|2024-09-08|Software Bug|Software Bug requiring service under warranty period.|2024-09-13|5|315.95|No|315.95|34|None
280|1182|424|2024-07-20|Software Bug|Software Bug requiring service under warranty period.|2024-07-29|9|305.17|Yes|0|90|Component Replacement
281|817|477|2024-10-19|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-10-28|9|382.04|Yes|0|178|None
282|955|85|2023-10-23|Network Problem|Network Problem requiring service under warranty period.|2023-10-28|5|132.93|Yes|0|187|Component Replacement
283|750|140|2024-08-07|User Error|User Error requiring service under warranty period.|2024-08-12|5|30.62|Yes|0|160|None
284|913|380|2024-05-09|User Error|User Error requiring service under warranty period.|2024-05-18|9|516.08|Yes|0|165|Firmware Patch
285|508|399|2022-08-25|Integration Glitch|Integration Glitch requiring service under warranty period.|2022-08-28|3|307.43|Yes|0|49|Component Replacement
288|842|139|2022-08-27|Integration Glitch|Integration Glitch requiring service under warranty period.|2022-09-07|11|547.89|Yes|0|25|Client Training
289|86|157|2024-03-28|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-04-09|12|34.79|Yes|0|192|System Reconfiguration
290|1006|205|2023-12-02|User Error|User Error requiring service under warranty period.|2023-12-14|12|436.22|Yes|0|73|System Reconfiguration
291|759|454|2022-09-05|User Error|User Error requiring service under warranty period.|2022-09-19|14|511.63|Yes|0|49|Client Training
292|132|473|2022-04-23|Integration Glitch|Integration Glitch requiring service under warranty period.|2022-04-27|4|428.92|Yes|0|154|Client Training
293|425|116|2024-09-14|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-09-19|5|11.59|Yes|0|70|Client Training
294|678|281|2024-03-18|System Failure|System Failure requiring service under warranty period.|2024-03-22|4|2380.27|Yes|0|156|Client Training
295|855|641|2024-03-21|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-03-25|4|222.87|Yes|0|92|Client Training
296|418|700|2024-08-14|Network Problem|Network Problem requiring service under warranty period.|2024-08-29|15|50.16|Yes|0|155|Software Update
297|139|307|2024-01-13|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-01-21|8|317.97|Yes|0|98|Firmware Patch
298|535|763|2023-02-22|Network Problem|Network Problem requiring service under warranty period.|2023-03-08|14|194.75|Yes|0|155|System Reconfiguration
299|903|695|2024-06-23|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-06-29|6|1496.45|Yes|0|155|Component Replacement
300|1053|738|2024-07-19|Network Problem|Network Problem requiring service under warranty period.|2024-07-21|2|172.27|Yes|0|1|Firmware Patch
301|237|609|2023-09-13|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2023-09-16|3|1319.27|Yes|0|103|Component Replacement
302|311|164|2025-01-17|System Failure|System Failure requiring service under warranty period.|2025-01-30|13|2596.61|Yes|0|199|Software Update
303|896|190|2023-04-11|Software Bug|Software Bug requiring service under warranty period.|2023-04-22|11|395.91|Yes|0|26|Client Training
304|919|96|2023-01-22|System Failure|System Failure requiring service under warranty period.|2023-02-01|10|799.82|Yes|0|39|None
305|372|106|2024-12-18|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-12-31|13|239.41|Yes|0|155|System Reconfiguration
306|313|15|2024-09-27|Network Problem|Network Problem requiring service under warranty period.|2024-10-03|6|136.97|Yes|0|30|Client Training
307|353|252|2025-03-19|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2025-03-31|12|510.78|Yes|0|120|Firmware Patch
308|844|76|2023-02-14|Network Problem|Network Problem requiring service under warranty period.|2023-02-25|11|345.22|No|345.22|194|Client Training
309|355|47|2024-03-25|User Error|User Error requiring service under warranty period.|2024-03-28|3|545.54|Yes|0|81|None
310|1182|424|2024-01-30|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-02-04|5|334.06|Yes|0|186|None
311|25|6|2025-02-08|Network Problem|Network Problem requiring service under warranty period.|2025-02-19|11|343.91|Yes|0|4|Firmware Patch
312|349|295|2024-11-30|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-12-10|10|4.89|Yes|0|114|Client Training
313|416|226|2024-02-18|System Failure|System Failure requiring service under warranty period.|2024-03-02|13|1594.55|Yes|0|91|System Reconfiguration
314|1086|10|2023-04-21|Software Bug|Software Bug requiring service under warranty period.|2023-04-24|3|158.49|Yes|0|98|Component Replacement
315|288|103|2025-01-29|System Failure|System Failure requiring service under warranty period.|2025-02-10|12|529.74|Yes|0|59|Firmware Patch
316|276|644|2024-04-05|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-04-14|9|128.85|Yes|0|111|Firmware Patch
317|64|179|2025-03-20|User Error|User Error requiring service under warranty period.|2025-03-28|8|47.43|Yes|0|85|Firmware Patch
318|292|406|2023-01-11|User Error|User Error requiring service under warranty period.|2023-01-25|14|473.31|Yes|0|23|Client Training
319|1051|126|2025-02-25|Integration Glitch|Integration Glitch requiring service under warranty period.|2025-03-03|6|273.24|Yes|0|53|None
321|1106|298|2023-06-01|Network Problem|Network Problem requiring service under warranty period.|2023-06-02|1|145.08|Yes|0|50|System Reconfiguration
322|351|247|2023-10-27|Software Bug|Software Bug requiring service under warranty period.|2023-11-07|11|69.91|Yes|0|91|System Reconfiguration
323|313|15|2024-10-11|System Failure|System Failure requiring service under warranty period.|2024-10-22|11|67.01|Yes|0|38|Component Replacement
325|801|700|2024-06-18|Software Bug|Software Bug requiring service under warranty period.|2024-07-02|14|491.6|Yes|0|5|Firmware Patch
326|841|658|2024-02-08|User Error|User Error requiring service under warranty period.|2024-02-22|14|108.06|Yes|0|182|Component Replacement
327|675|351|2024-05-21|System Failure|System Failure requiring service under warranty period.|2024-06-03|13|1596.71|Yes|0|8|Component Replacement
328|11|361|2024-06-18|Network Problem|Network Problem requiring service under warranty period.|2024-06-19|1|479.41|Yes|0|113|Component Replacement
329|951|550|2023-08-13|Software Bug|Software Bug requiring service under warranty period.|2023-08-20|7|380.39|Yes|0|92|Firmware Patch
332|586|23|2025-03-31|System Failure|System Failure requiring service under warranty period.|2025-04-09|11|1166.22|Yes|0|72|Client Training
333|565|396|2022-08-20|Software Bug|Software Bug requiring service under warranty period.|2022-08-24|4|549.71|Yes|0|1|Firmware Patch
334|1045|709|2024-09-10|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-09-13|3|310.48|Yes|0|4|Client Training
335|420|124|2023-06-15|System Failure|System Failure requiring service under warranty period.|2023-06-22|7|2134.27|Yes|0|73|Software Update
337|611|553|2024-04-28|Software Bug|Software Bug requiring service under warranty period.|2024-05-04|6|313.7|Yes|0|76|Component Replacement
338|516|492|2025-02-08|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2025-02-20|12|1987.61|Yes|0|138|System Reconfiguration
339|567|288|2025-04-05|User Error|User Error requiring service under warranty period.|2025-04-09|13|454.11|Yes|0|36|Software Update
340|472|619|2024-07-14|User Error|User Error requiring service under warranty period.|2024-07-29|15|47.29|Yes|0|40|Client Training
341|917|792|2024-04-11|User Error|User Error requiring service under warranty period.|2024-04-17|6|417.6|Yes|0|43|Firmware Patch
342|1011|545|2024-10-14|Software Bug|Software Bug requiring service under warranty period.|2024-10-23|9|168.06|Yes|0|71|System Reconfiguration
343|1020|2|2023-04-22|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-04-27|5|333.03|Yes|0|66|System Reconfiguration
344|673|498|2025-03-29|System Failure|System Failure requiring service under warranty period.|2025-04-08|10|652.35|Yes|0|7|None
345|572|329|2025-01-21|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-01-23|2|332.26|Yes|0|143|Software Update
346|353|252|2023-09-13|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2023-09-25|12|683.6|Yes|0|120|None
347|92|348|2023-05-24|User Error|User Error requiring service under warranty period.|2023-06-05|12|212.63|Yes|0|168|Component Replacement
348|509|768|2023-04-10|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2023-04-12|2|735.79|Yes|0|135|Component Replacement
349|784|612|2025-03-28|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-04-08|11|362.93|Yes|0|113|Component Replacement
351|525|18|2024-11-26|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-12-04|8|279.19|Yes|0|76|Software Update
352|92|348|2023-11-23|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2023-11-24|1|1962.13|Yes|0|120|System Reconfiguration
353|925|454|2024-02-07|System Failure|System Failure requiring service under warranty period.|2024-02-12|5|466.43|Yes|0|30|Component Replacement
354|771|69|2023-11-14|System Failure|System Failure requiring service under warranty period.|2023-11-18|4|216.71|Yes|0|107|Client Training
355|189|601|2023-10-08|Network Problem|Network Problem requiring service under warranty period.|2023-10-23|15|195.13|Yes|0|173|System Reconfiguration
356|446|246|2024-01-18|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-01-19|1|2325.22|Yes|0|74|Client Training
358|1084|596|2022-09-08|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2022-09-13|5|922.36|Yes|0|186|Client Training
359|638|706|2024-12-27|Integration Glitch|Integration Glitch requiring service under warranty period.|2025-01-05|9|50.42|Yes|0|14|Client Training
360|345|450|2023-08-29|Software Bug|Software Bug requiring service under warranty period.|2023-09-12|14|408.66|No|408.66|107|System Reconfiguration
361|705|121|2024-06-13|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-06-17|4|2620.05|Yes|0|24|None
362|127|315|2025-03-20|Software Bug|Software Bug requiring service under warranty period.|2025-04-02|13|290.46|Yes|0|155|Software Update
363|99|239|2024-05-05|Configuration Issue|Configuration Issue requiring service under warranty period.|2024-05-20|15|349.66|Yes|0|14|Client Training
364|759|454|2023-09-22|Software Bug|Software Bug requiring service under warranty period.|2023-10-02|10|97.27|Yes|0|134|Firmware Patch
365|542|310|2025-01-11|Network Problem|Network Problem requiring service under warranty period.|2025-01-18|7|45.17|Yes|0|80|Software Update
366|759|454|2023-02-04|Network Problem|Network Problem requiring service under warranty period.|2023-02-10|6|435.37|Yes|0|96|Firmware Patch
367|355|47|2024-07-17|Software Bug|Software Bug requiring service under warranty period.|2024-07-29|12|526.67|Yes|0|65|Component Replacement
368|799|134|2023-09-30|Network Problem|Network Problem requiring service under warranty period.|2023-10-07|7|147.44|Yes|0|166|Software Update
369|682|49|2022-12-18|Configuration Issue|Configuration Issue requiring service under warranty period.|2022-12-25|7|543.48|Yes|0|181|None
370|580|760|2024-02-05|System Failure|System Failure requiring service under warranty period.|2024-02-16|11|138.18|Yes|0|38|System Reconfiguration
371|508|399|2023-03-17|User Error|User Error requiring service under warranty period.|2023-03-26|9|145.56|Yes|0|78|Firmware Patch
372|1060|213|2023-12-29|System Failure|System Failure requiring service under warranty period.|2024-01-05|7|1243.22|Yes|0|46|Firmware Patch
373|152|328|2025-04-08|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-04-09|1|14.32|Yes|0|157|None
375|1195|472|2024-10-02|User Error|User Error requiring service under warranty period.|2024-10-07|5|150.23|Yes|0|97|Client Training
376|1018|725|2024-02-07|Integration Glitch|Integration Glitch requiring service under warranty period.|2024-02-09|2|324.9|Yes|0|103|None
377|272|336|2025-02-28|Integration Glitch|Integration Glitch requiring service under warranty period.|2025-03-12|12|81.21|Yes|0|165|Client Training
378|452|4|2022-12-14|User Error|User Error requiring service under warranty period.|2022-12-20|6|493.18|Yes|0|115|Software Update
379|573|296|2025-03-26|User Error|User Error requiring service under warranty period.|2025-04-01|6|414.71|Yes|0|17|Software Update
380|402|409|2023-05-09|System Failure|System Failure requiring service under warranty period.|2023-05-24|15|1485.24|No|1485.24|42|None
381|582|126|2025-02-09|System Failure|System Failure requiring service under warranty period.|2025-02-12|3|1955.51|Yes|0|136|Software Update
382|990|739|2021-08-23|Software Bug|Software Bug requiring service under warranty period.|2021-08-27|4|256.5|Yes|0|102|Component Replacement
383|381|76|2023-01-27|Configuration Issue|Configuration Issue requiring service under warranty period.|2023-02-05|9|85.32|Yes|0|27|System Reconfiguration
384|992|40|2025-02-05|System Failure|System Failure requiring service under warranty period.|2025-02-17|12|80.17|Yes|0|1|Component Replacement
385|510|440|2023-04-08|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-04-13|5|445.5|Yes|0|72|Client Training
387|801|700|2023-12-08|Software Bug|Software Bug requiring service under warranty period.|2023-12-17|9|326.42|Yes|0|67|System Reconfiguration
388|7|360|2025-04-01|Configuration Issue|Configuration Issue requiring service under warranty period.|2025-04-09|12|250.64|Yes|0|32|System Reconfiguration
389|277|75|2024-07-14|Network Problem|Network Problem requiring service under warranty period.|2024-07-26|12|123.03|Yes|0|1|Software Update
390|402|409|2023-02-02|Configuration Issue|Configuration Issue requiring service under warranty period.|2023-02-12|10|169.68|Yes|0|18|Firmware Patch
391|1158|582|2025-03-01|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2025-03-15|14|680.81|Yes|0|181|Component Replacement
392|1140|718|2022-12-04|Configuration Issue|Configuration Issue requiring service under warranty period.|2022-12-10|6|79.93|Yes|0|152|Component Replacement
393|538|751|2023-09-12|Software Bug|Software Bug requiring service under warranty period.|2023-09-19|7|258.66|Yes|0|50|Component Replacement
394|966|745|2023-12-12|Integration Glitch|Integration Glitch requiring service under warranty period.|2023-12-19|7|418.69|Yes|0|40|Component Replacement
395|331|480|2024-12-30|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2025-01-13|14|1812.83|Yes|0|122|Component Replacement
396|450|660|2022-09-09|System Failure|System Failure requiring service under warranty period.|2022-09-12|3|1024.76|Yes|0|94|System Reconfiguration
397|287|738|2024-05-01|Equipment Malfunction|Equipment Malfunction requiring service under warranty period.|2024-05-13|12|2684.25|Yes|0|200|Client Training
398|226|616|2022-11-15|Network Problem|Network Problem requiring service under warranty period.|2022-11-24|9|328.02|Yes|0|126|Firmware Patch
399|70|187|2025-03-16|Software Bug|Software Bug requiring service under warranty period.|2025-03-31|15|373.01|Yes|0|38|Component Replacement
400|960|512|2024-04-06|User Error|User Error requiring service under warranty period.|2024-04-14|8|483.74|Yes|0|120|None
