ChangeOrderID|ProjectID|RequestDate|Type|Description|OriginalSpec|NewSpec|Amount|Status|TimelineImpactDays|ApprovedBy
243|990|2021-05-30|Additional Programming|Additional Programming - Technical requirement|Standard components|Upgraded materials|6741.32|Approved|7|55
244|844|2022-01-04|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Premium components|13388.3|Pending|0|N/A
245|858|2023-09-11|Add Equipment|Add Equipment - Designer specification|Included materials|Premium components|32150.37|Pending|0|N/A
246|723|2025-02-14|Material Substitution|Material Substitution - Designer specification|Limited zones|Enhanced system|29097.7|Approved|12|169
247|820|2022-08-18|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Standard components|Extended coverage|9211.93|Approved|4|21
248|351|2021-09-14|Additional Features|Additional Features - Unforeseen condition|Standard components|Extended coverage|8719.86|Approved|17|106
249|549|2024-10-28|Additional Features|Additional Features - Unforeseen condition|Basic system|Extended coverage|15079.73|Approved|0|61
250|851|2022-07-20|Additional Features|Additional Features - Unforeseen condition|Limited zones|Upgraded materials|1818.32|Approved|14|56
251|889|2025-01-05|Design Change|Design Change - Client request|Limited zones|Enhanced system|4195.52|Rejected|0|N/A
252|4|2024-02-26|Material Substitution|Material Substitution - Client request|Limited zones|Upgraded materials|40793.1|Approved|20|116
253|1017|2022-09-11|Additional Features|Additional Features - Unforeseen condition|Standard components|Enhanced system|3343.54|Rejected|0|N/A
254|1109|2022-07-10|Design Change|Design Change - Designer specification|Limited zones|Extended coverage|7871.51|Approved|18|172
255|903|2023-11-14|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Upgraded materials|5322.06|Rejected|0|N/A
256|511|2023-12-12|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Premium components|7417.34|Approved|8|140
257|136|2023-03-25|Add Equipment|Add Equipment - Client request|Included materials|Extended coverage|46628.69|Approved|18|116
258|1050|2024-11-29|Add Zone Coverage|Add Zone Coverage - Designer specification|Standard components|Premium components|32461.8|Approved|5|54
259|462|2023-04-24|Additional Features|Additional Features - Unforeseen condition|Limited zones|Premium components|7395.95|Approved|8|58
260|1016|2022-06-21|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Premium components|3378.24|Approved|6|189
261|759|2022-07-16|Add Zone Coverage|Add Zone Coverage - Client request|Standard components|Premium components|36479.43|Approved|20|185
262|331|2024-09-21|Additional Features|Additional Features - Designer specification|Included materials|Extended coverage|4685.51|Approved|8|106
263|425|2024-04-03|Add Equipment|Add Equipment - Designer specification|Basic system|Enhanced system|2299.57|Approved|6|125
264|574|2021-01-26|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Upgraded materials|13968.8|Approved|17|164
265|621|2023-04-16|Design Change|Design Change - Technical requirement|Standard components|Enhanced system|25076.01|Approved|20|9
266|281|2023-08-01|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Extended coverage|18618.81|Approved|11|57
267|848|2021-01-24|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Extended coverage|37139.13|Approved|9|190
268|208|2023-10-04|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Standard components|Premium components|6658.25|Approved|5|55
269|1073|2024-05-16|Additional Features|Additional Features - Client request|Included materials|Extended coverage|21724.82|Approved|16|58
270|682|2021-09-29|Add Zone Coverage|Add Zone Coverage - Client request|Basic system|Premium components|33063.21|Approved|2|190
271|907|2023-10-21|Additional Programming|Additional Programming - Technical requirement|Limited zones|Extended coverage|23351.35|Approved|19|3
272|235|2025-03-17|Additional Features|Additional Features - Client request|Limited zones|Premium components|23501.2|Pending|0|N/A
273|965|2023-12-17|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Premium components|40620.56|Approved|8|185
274|867|2022-09-07|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Included materials|Upgraded materials|12045.43|Pending|0|N/A
275|946|2022-05-07|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Extended coverage|3880.72|Rejected|0|N/A
276|888|2025-02-16|Upgrade Components|Upgrade Components - Client request|Basic system|Enhanced system|20886.06|Approved|13|185
277|985|2022-10-31|Additional Features|Additional Features - Technical requirement|Limited zones|Upgraded materials|5769.03|Rejected|0|N/A
278|1032|2024-02-07|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Extended coverage|14982.99|Approved|6|164
279|845|2023-10-12|Material Substitution|Material Substitution - Client request|Limited zones|Upgraded materials|2811.97|Approved|7|125
280|283|2024-05-21|Material Substitution|Material Substitution - Client request|Basic system|Enhanced system|11928.36|Approved|4|190
281|705|2024-02-27|Upgrade Components|Upgrade Components - Unforeseen condition|Included materials|Extended coverage|3368.69|Approved|10|9
282|1151|2023-01-20|Add Equipment|Add Equipment - Client request|Limited zones|Enhanced system|18253.84|Approved|3|169
283|539|2023-06-27|Upgrade Components|Upgrade Components - Client request|Included materials|Upgraded materials|19253.53|Approved|11|61
284|910|2025-04-03|Material Substitution|Material Substitution - Client request|Basic system|Enhanced system|4939.95|Pending|0|N/A
285|838|2024-02-24|Additional Features|Additional Features - Technical requirement|Basic system|Enhanced system|14144.37|Approved|12|106
286|863|2024-03-03|Design Change|Design Change - Unforeseen condition|Standard components|Enhanced system|6782.97|Approved|20|140
287|676|2023-10-16|Add Equipment|Add Equipment - Client request|Included materials|Extended coverage|16057.67|Rejected|0|N/A
288|1186|2022-03-12|Upgrade Components|Upgrade Components - Designer specification|Included materials|Upgraded materials|28887.03|Pending|0|N/A
289|559|2023-11-02|Material Substitution|Material Substitution - Client request|Included materials|Enhanced system|2617.64|Rejected|0|N/A
290|1018|2022-09-01|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Extended coverage|5239.75|Approved|10|124
291|786|2023-08-21|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Enhanced system|10775.43|Rejected|0|N/A
292|1070|2023-03-05|Material Substitution|Material Substitution - Designer specification|Standard components|Enhanced system|29921.33|Rejected|0|N/A
293|945|2023-01-01|Add Equipment|Add Equipment - Unforeseen condition|Basic system|Premium components|17644.73|Approved|0|142
294|609|2022-05-03|Material Substitution|Material Substitution - Technical requirement|Limited zones|Upgraded materials|38202.94|Rejected|0|N/A
295|300|2022-03-30|Add Zone Coverage|Add Zone Coverage - Client request|Basic system|Upgraded materials|11754.26|Approved|0|196
296|5|2025-04-06|Add Equipment|Add Equipment - Client request|Basic system|Upgraded materials|9698.54|Approved|11|125
297|1068|2023-03-22|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Standard components|Upgraded materials|20125.65|Pending|0|N/A
298|7|2024-09-08|Material Substitution|Material Substitution - Client request|Basic system|Enhanced system|4819.07|Approved|13|189
299|1123|2023-11-07|Additional Programming|Additional Programming - Unforeseen condition|Limited zones|Upgraded materials|32067.95|Pending|0|N/A
300|462|2023-04-29|Additional Features|Additional Features - Unforeseen condition|Basic system|Enhanced system|37358.51|Approved|5|133
301|421|2023-06-28|Design Change|Design Change - Client request|Basic system|Extended coverage|4277.74|Rejected|0|N/A
302|359|2024-12-10|Upgrade Components|Upgrade Components - Client request|Included materials|Premium components|22924.24|Approved|16|54
303|175|2024-06-09|Design Change|Design Change - Designer specification|Included materials|Premium components|4204.03|Approved|5|75
304|420|2022-12-18|Design Change|Design Change - Designer specification|Included materials|Upgraded materials|3333.36|Approved|14|196
305|1108|2021-11-03|Add Zone Coverage|Add Zone Coverage - Client request|Basic system|Premium components|26524.89|Rejected|0|N/A
306|584|2022-03-14|Add Zone Coverage|Add Zone Coverage - Technical requirement|Limited zones|Upgraded materials|7393.18|Approved|20|164
307|770|2025-01-27|Design Change|Design Change - Unforeseen condition|Limited zones|Extended coverage|19561.15|Pending|0|N/A
308|1126|2024-04-17|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Basic system|Premium components|11939.79|Pending|0|N/A
309|1188|2025-02-14|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Enhanced system|26678.67|Rejected|0|N/A
310|63|2025-01-23|Add Equipment|Add Equipment - Technical requirement|Standard components|Premium components|26187.5|Approved|17|140
311|336|2023-12-19|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Extended coverage|9169.51|Approved|17|140
313|1144|2021-09-25|Design Change|Design Change - Unforeseen condition|Limited zones|Premium components|10111.6|Approved|18|16
314|259|2024-01-03|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Standard components|Extended coverage|3171.08|Approved|0|75
315|793|2024-04-24|Add Equipment|Add Equipment - Designer specification|Limited zones|Premium components|41054.18|Approved|15|125
316|199|2023-10-28|Additional Features|Additional Features - Unforeseen condition|Included materials|Extended coverage|474.03|Pending|0|N/A
317|828|2024-12-31|Additional Features|Additional Features - Unforeseen condition|Basic system|Upgraded materials|9006.54|Approved|6|133
318|251|2021-03-24|Design Change|Design Change - Client request|Included materials|Premium components|16311.85|Approved|17|116
319|439|2025-03-10|Additional Features|Additional Features - Client request|Standard components|Upgraded materials|32780.89|Approved|2|55
320|121|2023-03-10|Additional Programming|Additional Programming - Client request|Standard components|Upgraded materials|9087.8|Approved|13|124
321|239|2023-09-19|Additional Features|Additional Features - Designer specification|Included materials|Premium components|12612.5|Approved|7|3
322|124|2022-05-30|Design Change|Design Change - Client request|Limited zones|Upgraded materials|3109.75|Approved|15|189
323|720|2024-12-05|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Upgraded materials|2811.18|Approved|4|164
324|263|2022-03-28|Add Zone Coverage|Add Zone Coverage - Designer specification|Limited zones|Premium components|9068.54|Rejected|0|N/A
325|834|2022-05-22|Material Substitution|Material Substitution - Technical requirement|Standard components|Premium components|8322.89|Approved|1|75
326|55|2023-12-12|Additional Features|Additional Features - Client request|Limited zones|Extended coverage|19275.64|Approved|15|131
327|213|2023-11-04|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Extended coverage|6313.4|Approved|5|196
328|183|2025-04-02|Material Substitution|Material Substitution - Technical requirement|Standard components|Extended coverage|23718.06|Pending|0|N/A
329|566|2022-01-26|Additional Features|Additional Features - Technical requirement|Limited zones|Upgraded materials|23626.12|Approved|5|124
330|1187|2023-06-25|Material Substitution|Material Substitution - Client request|Included materials|Upgraded materials|24920.6|Approved|1|106
331|147|2021-06-14|Upgrade Components|Upgrade Components - Client request|Basic system|Enhanced system|5311.7|Rejected|0|N/A
332|99|2023-04-09|Material Substitution|Material Substitution - Technical requirement|Basic system|Premium components|24055.21|Approved|2|21
333|923|2024-12-19|Upgrade Components|Upgrade Components - Technical requirement|Limited zones|Premium components|7735.82|Approved|15|147
334|364|2023-10-22|Additional Features|Additional Features - Designer specification|Standard components|Enhanced system|28528.25|Approved|18|57
335|567|2024-01-25|Add Equipment|Add Equipment - Client request|Included materials|Upgraded materials|38769.93|Approved|20|133
336|611|2023-11-04|Material Substitution|Material Substitution - Technical requirement|Basic system|Extended coverage|56773.07|Approved|4|55
337|636|2025-03-01|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Included materials|Extended coverage|26162.31|Approved|3|133
338|705|2024-01-30|Design Change|Design Change - Designer specification|Standard components|Upgraded materials|2861.43|Rejected|0|N/A
339|1127|2022-04-18|Material Substitution|Material Substitution - Technical requirement|Included materials|Upgraded materials|9376.68|Approved|6|190
340|455|2021-08-25|Add Equipment|Add Equipment - Designer specification|Standard components|Enhanced system|4712.72|Approved|7|125
341|237|2022-09-26|Additional Programming|Additional Programming - Designer specification|Standard components|Upgraded materials|48498.32|Approved|14|142
342|14|2024-06-21|Upgrade Components|Upgrade Components - Technical requirement|Limited zones|Upgraded materials|9894.99|Approved|12|61
343|355|2023-11-23|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Included materials|Premium components|26267.63|Approved|10|21
344|558|2024-08-14|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Extended coverage|45492.79|Approved|5|172
345|66|2024-11-17|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Extended coverage|11660.67|Approved|5|54
346|325|2024-09-19|Add Equipment|Add Equipment - Designer specification|Standard components|Enhanced system|4591.37|Approved|6|9
347|961|2023-11-14|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Enhanced system|28163.43|Approved|20|54
348|950|2025-03-24|Material Substitution|Material Substitution - Client request|Limited zones|Premium components|14715.58|Approved|0|131
349|555|2025-03-27|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Extended coverage|14282.85|Approved|7|61
350|639|2023-12-25|Additional Features|Additional Features - Unforeseen condition|Included materials|Upgraded materials|3333.62|Approved|14|75
351|115|2024-02-05|Additional Programming|Additional Programming - Technical requirement|Included materials|Extended coverage|8789.4|Approved|1|56
352|533|2022-11-27|Additional Programming|Additional Programming - Designer specification|Limited zones|Extended coverage|46357.43|Approved|3|21
353|1047|2024-09-12|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Basic system|Enhanced system|7839.99|Approved|11|185
354|504|2025-01-29|Additional Features|Additional Features - Designer specification|Standard components|Premium components|6631.15|Approved|9|131
355|667|2022-11-07|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Extended coverage|6722.37|Approved|18|58
356|586|2024-09-29|Upgrade Components|Upgrade Components - Client request|Basic system|Enhanced system|21960.93|Pending|0|N/A
357|40|2023-06-06|Add Zone Coverage|Add Zone Coverage - Designer specification|Limited zones|Extended coverage|5309.49|Approved|9|58
358|316|2024-10-22|Additional Programming|Additional Programming - Designer specification|Basic system|Enhanced system|4640.97|Approved|11|124
359|1174|2024-03-18|Design Change|Design Change - Technical requirement|Standard components|Extended coverage|11294.17|Approved|20|61
360|368|2023-02-04|Add Zone Coverage|Add Zone Coverage - Designer specification|Basic system|Extended coverage|16745.89|Approved|14|133
361|477|2021-11-03|Add Equipment|Add Equipment - Client request|Basic system|Upgraded materials|36377.79|Approved|3|125
362|270|2023-05-15|Design Change|Design Change - Designer specification|Included materials|Enhanced system|1389.02|Approved|4|106
363|52|2024-10-20|Add Equipment|Add Equipment - Designer specification|Basic system|Enhanced system|16506.38|Approved|3|55
364|23|2021-05-04|Material Substitution|Material Substitution - Client request|Included materials|Upgraded materials|6574.49|Approved|9|147
365|907|2023-07-17|Add Equipment|Add Equipment - Designer specification|Included materials|Upgraded materials|36135.59|Approved|12|164
366|286|2022-08-01|Add Zone Coverage|Add Zone Coverage - Designer specification|Limited zones|Upgraded materials|13426.85|Approved|18|140
367|1175|2024-11-05|Add Equipment|Add Equipment - Unforeseen condition|Standard components|Extended coverage|16188.23|Approved|7|61
368|717|2021-10-24|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Upgraded materials|23036.66|Approved|17|109
369|950|2025-02-22|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Upgraded materials|2287.61|Rejected|0|N/A
370|1059|2021-11-05|Additional Features|Additional Features - Client request|Basic system|Premium components|15702.26|Pending|0|N/A
371|492|2023-06-17|Add Zone Coverage|Add Zone Coverage - Technical requirement|Included materials|Upgraded materials|3959.45|Approved|17|69
372|896|2022-08-11|Material Substitution|Material Substitution - Designer specification|Included materials|Extended coverage|44508.69|Rejected|0|N/A
373|293|2021-02-13|Design Change|Design Change - Client request|Basic system|Extended coverage|15734.78|Approved|3|172
374|651|2022-08-31|Add Zone Coverage|Add Zone Coverage - Designer specification|Standard components|Upgraded materials|17549.8|Approved|1|147
375|135|2025-01-12|Material Substitution|Material Substitution - Unforeseen condition|Basic system|Enhanced system|26642.96|Approved|7|164
376|158|2025-01-13|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Upgraded materials|33687.53|Pending|0|N/A
377|961|2023-05-03|Design Change|Design Change - Client request|Standard components|Upgraded materials|25395.11|Approved|7|69
378|744|2021-10-07|Material Substitution|Material Substitution - Technical requirement|Basic system|Enhanced system|25658.88|Approved|16|57
379|286|2022-10-25|Additional Features|Additional Features - Designer specification|Standard components|Premium components|23410.88|Approved|8|164
380|104|2023-06-23|Additional Features|Additional Features - Client request|Basic system|Upgraded materials|29812.58|Approved|18|147
381|89|2023-02-08|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Enhanced system|4707.76|Approved|10|141
382|741|2024-12-09|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Extended coverage|4231.53|Rejected|0|N/A
383|563|2024-12-04|Additional Features|Additional Features - Client request|Limited zones|Extended coverage|10763.68|Approved|2|172
384|95|2024-06-14|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Extended coverage|26105.36|Approved|11|9
385|371|2024-11-15|Additional Programming|Additional Programming - Technical requirement|Included materials|Enhanced system|1642.35|Approved|20|125
386|765|2023-02-23|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Limited zones|Premium components|40171.76|Approved|0|3
387|182|2025-03-25|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Upgraded materials|2983.23|Pending|0|N/A
388|510|2022-06-21|Material Substitution|Material Substitution - Client request|Standard components|Extended coverage|7877.42|Rejected|0|N/A
389|629|2022-02-13|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Extended coverage|17525.39|Approved|7|106
390|940|2023-02-13|Additional Features|Additional Features - Technical requirement|Standard components|Extended coverage|7108.82|Rejected|0|N/A
391|655|2024-02-17|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Premium components|1075.62|Approved|1|69
392|1063|2025-01-06|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Enhanced system|2352.84|Approved|10|125
393|513|2022-07-09|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Standard components|Enhanced system|4229.68|Approved|7|116
394|596|2024-10-10|Additional Programming|Additional Programming - Designer specification|Standard components|Premium components|21336.57|Pending|0|N/A
395|111|2022-08-30|Additional Programming|Additional Programming - Technical requirement|Included materials|Extended coverage|28848.61|Approved|17|55
396|119|2023-08-13|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Upgraded materials|35660.62|Approved|18|58
397|372|2024-06-06|Add Equipment|Add Equipment - Client request|Standard components|Premium components|13237.68|Approved|2|169
398|976|2023-07-19|Material Substitution|Material Substitution - Unforeseen condition|Standard components|Upgraded materials|14438.71|Approved|7|57
399|376|2023-09-20|Add Zone Coverage|Add Zone Coverage - Client request|Standard components|Premium components|36609.89|Approved|20|140
400|524|2022-05-28|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Limited zones|Premium components|38130.32|Approved|7|131
401|1098|2024-08-24|Design Change|Design Change - Technical requirement|Standard components|Upgraded materials|9068.77|Rejected|0|N/A
402|892|2025-01-31|Additional Features|Additional Features - Technical requirement|Basic system|Extended coverage|5327.5|Approved|14|172
403|208|2023-10-03|Additional Programming|Additional Programming - Client request|Basic system|Premium components|14124.73|Rejected|0|N/A
404|820|2022-09-24|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Extended coverage|27003.35|Approved|3|3
405|140|2022-04-26|Add Zone Coverage|Add Zone Coverage - Designer specification|Basic system|Enhanced system|46423.88|Pending|0|N/A
406|617|2023-10-27|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Premium components|9563.93|Approved|5|164
407|391|2025-02-06|Design Change|Design Change - Client request|Basic system|Enhanced system|6468.78|Approved|1|189
408|1199|2021-05-09|Add Equipment|Add Equipment - Designer specification|Limited zones|Upgraded materials|17488.01|Approved|11|69
409|928|2025-02-04|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Extended coverage|46396.72|Approved|0|75
410|250|2021-12-16|Add Equipment|Add Equipment - Unforeseen condition|Standard components|Enhanced system|29143.79|Approved|13|142
411|1015|2021-08-05|Add Equipment|Add Equipment - Client request|Included materials|Premium components|8288.64|Approved|7|185
412|1123|2023-10-03|Additional Programming|Additional Programming - Technical requirement|Standard components|Extended coverage|41354.33|Approved|18|169
413|585|2025-03-08|Upgrade Components|Upgrade Components - Designer specification|Basic system|Enhanced system|12312.25|Approved|10|169
414|1023|2021-09-07|Additional Features|Additional Features - Technical requirement|Included materials|Enhanced system|20895.54|Approved|9|3
415|972|2023-01-23|Additional Features|Additional Features - Client request|Limited zones|Enhanced system|3483.3|Approved|16|125
416|846|2023-05-05|Material Substitution|Material Substitution - Unforeseen condition|Included materials|Enhanced system|25214.32|Rejected|0|N/A
417|47|2024-10-11|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Extended coverage|52319.41|Approved|11|133
418|780|2024-04-07|Design Change|Design Change - Designer specification|Limited zones|Premium components|55029.16|Approved|17|124
419|689|2022-12-30|Add Zone Coverage|Add Zone Coverage - Client request|Included materials|Extended coverage|30967.3|Approved|17|54
420|237|2022-12-02|Add Equipment|Add Equipment - Unforeseen condition|Basic system|Upgraded materials|6068.57|Approved|2|131
421|316|2024-04-06|Additional Features|Additional Features - Client request|Basic system|Upgraded materials|5452.62|Approved|3|140
422|1116|2023-11-04|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Limited zones|Upgraded materials|17175.86|Approved|14|142
423|879|2021-03-27|Material Substitution|Material Substitution - Unforeseen condition|Included materials|Upgraded materials|5107.86|Approved|1|116
424|1051|2024-10-25|Additional Programming|Additional Programming - Designer specification|Basic system|Enhanced system|5203.31|Approved|13|55
425|885|2025-04-05|Additional Programming|Additional Programming - Technical requirement|Limited zones|Upgraded materials|5827.92|Pending|0|N/A
426|459|2023-11-20|Additional Programming|Additional Programming - Client request|Basic system|Premium components|23134.92|Approved|19|109
427|629|2022-04-20|Material Substitution|Material Substitution - Client request|Included materials|Premium components|6487.85|Approved|12|189
428|653|2024-03-14|Upgrade Components|Upgrade Components - Designer specification|Included materials|Premium components|9065.02|Approved|8|141
429|1059|2021-10-09|Material Substitution|Material Substitution - Designer specification|Basic system|Enhanced system|23961.23|Approved|16|125
430|760|2025-04-07|Additional Programming|Additional Programming - Designer specification|Basic system|Extended coverage|22645.9|Approved|0|58
431|1164|2022-05-03|Additional Features|Additional Features - Unforeseen condition|Limited zones|Extended coverage|6053.19|Rejected|0|N/A
432|583|2022-04-04|Design Change|Design Change - Technical requirement|Basic system|Premium components|16671.24|Approved|7|164
433|961|2024-10-03|Additional Programming|Additional Programming - Client request|Basic system|Premium components|43744.74|Approved|15|55
434|1175|2024-11-05|Add Zone Coverage|Add Zone Coverage - Client request|Basic system|Premium components|10895.84|Approved|12|164
435|46|2023-03-14|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Premium components|19416.92|Rejected|0|N/A
436|43|2025-03-28|Add Equipment|Add Equipment - Designer specification|Standard components|Extended coverage|24237.71|Approved|10|190
437|847|2025-03-15|Material Substitution|Material Substitution - Unforeseen condition|Basic system|Enhanced system|2113.59|Approved|2|189
438|1028|2021-08-06|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Upgraded materials|10749.43|Pending|0|N/A
439|459|2023-11-20|Additional Features|Additional Features - Designer specification|Basic system|Enhanced system|19244.85|Approved|14|106
440|889|2024-06-30|Upgrade Components|Upgrade Components - Client request|Standard components|Enhanced system|29267.18|Approved|20|147
441|636|2023-06-10|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Premium components|19185.09|Rejected|0|N/A
442|910|2025-03-06|Add Zone Coverage|Add Zone Coverage - Technical requirement|Limited zones|Upgraded materials|3975.29|Pending|0|N/A
443|289|2024-08-04|Material Substitution|Material Substitution - Designer specification|Basic system|Extended coverage|10377.34|Approved|17|57
444|433|2024-02-19|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Extended coverage|2551.18|Approved|14|61
445|1029|2024-11-27|Upgrade Components|Upgrade Components - Technical requirement|Standard components|Premium components|5448.5|Approved|20|147
446|328|2023-03-22|Additional Programming|Additional Programming - Unforeseen condition|Included materials|Enhanced system|12323.54|Rejected|0|N/A
447|1024|2025-03-16|Additional Features|Additional Features - Client request|Standard components|Premium components|15617.64|Pending|0|N/A
448|839|2025-01-05|Material Substitution|Material Substitution - Designer specification|Included materials|Premium components|3507.49|Approved|16|116
449|590|2021-12-17|Add Equipment|Add Equipment - Client request|Standard components|Enhanced system|2095.68|Approved|11|55
450|115|2023-12-15|Material Substitution|Material Substitution - Technical requirement|Included materials|Upgraded materials|11264.31|Approved|13|169
451|184|2023-11-26|Add Equipment|Add Equipment - Technical requirement|Standard components|Upgraded materials|24285.42|Approved|6|189
452|39|2023-05-16|Upgrade Components|Upgrade Components - Client request|Limited zones|Enhanced system|2077.55|Approved|9|147
453|1061|2022-07-26|Add Equipment|Add Equipment - Technical requirement|Limited zones|Extended coverage|8872.14|Approved|15|189
454|869|2022-12-08|Additional Features|Additional Features - Technical requirement|Standard components|Enhanced system|49391.88|Approved|17|54
455|521|2025-01-13|Material Substitution|Material Substitution - Client request|Basic system|Enhanced system|5822.05|Approved|5|164
456|958|2025-03-22|Additional Features|Additional Features - Unforeseen condition|Included materials|Upgraded materials|15369.84|Approved|17|185
457|525|2023-07-10|Design Change|Design Change - Client request|Limited zones|Upgraded materials|32297.33|Approved|17|131
458|1136|2024-03-27|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Included materials|Premium components|3629.45|Rejected|0|N/A
459|472|2023-09-14|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Upgraded materials|25851.09|Pending|0|N/A
460|399|2025-02-16|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Enhanced system|2855.1|Approved|18|54
461|456|2023-06-21|Design Change|Design Change - Unforeseen condition|Included materials|Enhanced system|7505.76|Approved|1|125
462|1123|2023-09-03|Additional Programming|Additional Programming - Unforeseen condition|Included materials|Premium components|38067.52|Approved|7|16
463|1189|2022-12-29|Additional Programming|Additional Programming - Unforeseen condition|Basic system|Premium components|30492.59|Approved|1|106
464|261|2023-05-06|Additional Features|Additional Features - Designer specification|Included materials|Premium components|7245.84|Approved|0|133
465|1116|2023-11-20|Material Substitution|Material Substitution - Technical requirement|Limited zones|Extended coverage|17402.86|Approved|19|75
466|974|2023-08-01|Add Zone Coverage|Add Zone Coverage - Client request|Basic system|Upgraded materials|35733.2|Rejected|0|N/A
467|12|2024-11-18|Additional Programming|Additional Programming - Technical requirement|Limited zones|Premium components|7812.87|Approved|1|21
468|1043|2024-03-27|Material Substitution|Material Substitution - Client request|Standard components|Extended coverage|6852.57|Approved|2|141
469|807|2025-02-09|Additional Programming|Additional Programming - Unforeseen condition|Basic system|Upgraded materials|1565.63|Approved|16|58
470|471|2024-07-04|Additional Programming|Additional Programming - Client request|Limited zones|Upgraded materials|13077.92|Approved|3|16
471|10|2025-01-30|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Enhanced system|13349.53|Approved|5|169
472|430|2025-03-17|Add Equipment|Add Equipment - Technical requirement|Included materials|Extended coverage|8340.06|Approved|19|131
473|524|2022-04-14|Upgrade Components|Upgrade Components - Designer specification|Standard components|Premium components|28876.88|Approved|11|106
474|249|2022-10-07|Additional Programming|Additional Programming - Designer specification|Standard components|Enhanced system|21907.08|Pending|0|N/A
475|829|2023-12-13|Design Change|Design Change - Technical requirement|Standard components|Enhanced system|33651.02|Approved|11|16
476|9|2025-04-09|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Premium components|2755.03|Approved|14|133
477|851|2022-03-23|Material Substitution|Material Substitution - Designer specification|Basic system|Upgraded materials|1653.06|Approved|8|189
478|743|2022-08-08|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Upgraded materials|21325.25|Approved|3|109
479|992|2023-08-20|Material Substitution|Material Substitution - Unforeseen condition|Basic system|Upgraded materials|24772.51|Approved|19|57
480|140|2022-02-27|Additional Programming|Additional Programming - Unforeseen condition|Limited zones|Extended coverage|22891.98|Approved|6|56
481|276|2021-08-27|Upgrade Components|Upgrade Components - Designer specification|Basic system|Upgraded materials|20021.51|Approved|20|9
482|92|2021-10-27|Additional Features|Additional Features - Designer specification|Limited zones|Extended coverage|2839.25|Rejected|0|N/A
483|1102|2023-10-16|Material Substitution|Material Substitution - Unforeseen condition|Included materials|Premium components|11112.95|Approved|13|3
