TrainingID|EmployeeID|Name|Type|Provider|StartDate|CompletionDate|HoursRequired|HoursCompleted|Status|Score|Passed|CertificationRenewed
236|121|Sales Training - RTI|Sales Training|Consultant|2024-11-15|2024-12-07|5|5|Completed|75|Yes|N/A
237|62|Advanced Installation|Advanced Installation|Manufacturer|2022-08-06|2022-09-15|9|9|Completed|80|Yes|N/A
238|104|Programming Workshop - Control4|Programming Workshop|Internal|2020-01-02|2020-02-26|6|6|Completed|76|Yes|N/A
239|73|Safety Training - Cisco Meraki|Safety Training|Industry Association|2024-04-25|TBD|34|3|Did Not Complete|N/A|No|N/A
240|172|Project Management|Project Management|Industry Association|2024-07-11|2024-09-02|10|10|Completed|N/A|N/A|N/A
241|19|Safety Training|Safety Training|Consultant|2022-06-01|2022-06-09|17|17|Completed|79|Yes|N/A
242|197|Biamp Certified Cert|Technical Certification|Consultant|2023-02-14|2023-04-04|65|65|Completed|97|Yes|Yes
243|188|Josh.ai Certified Cert|Technical Certification|Industry Association|2021-04-09|2021-05-16|71|71|Completed|99|Yes|Yes
244|44|Programming Workshop|Programming Workshop|Manufacturer|2024-01-03|2024-01-15|10|10|Completed|92|Yes|N/A
245|158|System Architecture|System Architecture|Industry Association|2024-04-21|2024-05-02|24|24|Completed|N/A|N/A|N/A
246|5|First Aid/CPR Cert|Technical Certification|CEDIA|2021-10-02|2021-11-25|52|52|Completed|100|Yes|No
247|200|Product Training|Product Training|Industry Association|2021-02-20|2021-02-22|12|12|Completed|65|No|N/A
248|83|Programming Workshop|Programming Workshop|Consultant|2020-08-06|2020-09-23|27|27|Completed|68|No|N/A
249|76|Safety Training|Safety Training|CEDIA|2022-04-08|TBD|4|2|In Progress|N/A|N/A|N/A
250|19|Troubleshooting Techniques|Troubleshooting Techniques|Online Platform|2024-02-27|TBD|29|4|In Progress|N/A|N/A|N/A
251|123|RTI Certified Cert|Technical Certification|CEDIA|2022-12-11|2023-01-22|75|75|Completed|69|No|Yes
252|198|System Architecture - KEF|System Architecture|Online Platform|2020-11-07|TBD|22|7|In Progress|N/A|N/A|N/A
253|112|New Technology Seminar|New Technology Seminar|Internal|2021-03-20|2021-04-08|28|28|Completed|82|Yes|N/A
254|192|Product Training|Product Training|Internal|2024-11-17|2025-01-13|10|10|Completed|N/A|N/A|N/A
255|15|System Architecture|System Architecture|CEDIA|2024-02-07|2024-03-08|36|36|Completed|74|Yes|N/A
256|127|Programming Workshop - Marantz|Programming Workshop|Consultant|2023-11-29|2023-12-03|29|29|Completed|68|No|N/A
257|39|Programming Workshop|Programming Workshop|Manufacturer|2023-04-12|2023-06-04|19|19|Completed|77|Yes|N/A
258|41|Product Training - KEF|Product Training|Manufacturer|2022-10-02|TBD|15|6|Did Not Complete|N/A|No|N/A
259|17|Safety Training|Safety Training|CEDIA|2020-11-12|2020-11-25|25|25|Completed|76|Yes|N/A
260|78|Advanced Installation|Advanced Installation|Online Platform|2020-06-28|2020-08-23|6|6|Completed|65|No|N/A
261|125|Financial Acumen - Josh.ai|Financial Acumen|CEDIA|2024-05-27|2024-06-18|6|6|Completed|N/A|N/A|N/A
262|98|Safety Training - Screen Innovations|Safety Training|CEDIA|2023-12-28|2024-01-14|12|12|Completed|68|No|N/A
263|199|CEDIA Certified Cert|Technical Certification|Online Platform|2021-10-24|2021-11-03|62|62|Completed|N/A|N/A|No
264|68|Crestron Certified Programmer Cert|Technical Certification|Manufacturer|2020-06-09|2020-06-28|79|79|Completed|75|Yes|Yes
265|179|Elan Certified Cert|Technical Certification|Manufacturer|2022-09-07|2022-09-10|25|25|Completed|84|Yes|Yes
266|89|Safety Training - JBL Synthesis|Safety Training|Online Platform|2024-02-24|2024-03-15|19|19|Completed|77|Yes|N/A
267|99|Advanced Installation - McIntosh|Advanced Installation|Online Platform|2020-05-31|2020-07-11|33|33|Completed|66|No|N/A
268|97|Troubleshooting Techniques|Troubleshooting Techniques|Online Platform|2024-06-24|2024-07-06|30|30|Completed|93|Yes|N/A
269|124|Client Communication - Linn|Client Communication|Industry Association|2024-03-03|2024-03-10|19|19|Completed|97|Yes|N/A
270|64|Design Software|Design Software|Online Platform|2023-10-08|TBD|15|9|In Progress|N/A|N/A|N/A
271|151|Design Software - RTI|Design Software|Manufacturer|2022-02-12|2022-04-08|39|39|Completed|66|No|N/A
272|162|Financial Acumen|Financial Acumen|Industry Association|2024-06-04|2024-07-27|34|34|Completed|84|Yes|N/A
273|110|Design Software|Design Software|Industry Association|2022-03-02|2022-04-11|36|36|Completed|77|Yes|N/A
274|144|Programming Workshop|Programming Workshop|Consultant|2023-11-17|2024-01-08|40|40|Completed|68|No|N/A
275|14|Programming Workshop - Linn|Programming Workshop|Consultant|2021-02-01|2021-02-27|21|21|Completed|94|Yes|N/A
276|24|Programming Workshop|Programming Workshop|Internal|2024-01-10|2024-02-18|20|20|Completed|72|Yes|N/A
277|142|Financial Acumen|Financial Acumen|Consultant|2020-09-29|2020-10-09|7|7|Completed|81|Yes|N/A
278|173|Troubleshooting Techniques|Troubleshooting Techniques|Industry Association|2020-12-25|2021-02-06|26|26|Completed|74|Yes|N/A
279|165|Safety Training - Marantz|Safety Training|Internal|2021-05-11|2021-07-04|6|6|Completed|100|Yes|N/A
280|117|Advanced Installation|Advanced Installation|Manufacturer|2024-04-02|2024-05-13|31|31|Completed|81|Yes|N/A
281|107|Product Training|Product Training|CEDIA|2020-05-07|2020-05-26|19|19|Completed|97|Yes|N/A
282|66|Product Training|Product Training|Manufacturer|2023-10-02|2023-11-06|22|22|Completed|75|Yes|N/A
283|158|System Architecture|System Architecture|CEDIA|2025-01-28|2025-02-21|31|31|Completed|N/A|N/A|N/A
284|73|Biamp Certified Cert|Technical Certification|Manufacturer|2022-05-01|2022-06-26|55|55|Completed|85|Yes|No
285|197|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2021-02-11|2021-03-28|39|39|Completed|72|Yes|N/A
286|155|Product Training - Linn|Product Training|Manufacturer|2024-07-15|2024-09-01|17|17|Completed|73|Yes|N/A
287|63|Manufacturer Update|Manufacturer Update|Online Platform|2024-10-09|2024-11-27|12|12|Completed|93|Yes|N/A
288|54|Project Management - RTI|Project Management|Manufacturer|2021-08-08|TBD|33|29|In Progress|N/A|N/A|N/A
289|41|Troubleshooting Techniques|Troubleshooting Techniques|CEDIA|2025-02-21|TBD|20|14|In Progress|N/A|N/A|N/A
290|58|Client Communication|Client Communication|Consultant|2023-04-26|2023-06-16|5|5|Completed|84|Yes|N/A
291|106|Project Management - Stewart Filmscreen|Project Management|Consultant|2020-04-28|TBD|21|9|Did Not Complete|N/A|No|N/A
292|19|Product Training|Product Training|Consultant|2025-03-10|2025-04-09|14|14|Completed|86|Yes|N/A
293|137|Savant Certified Programmer Cert|Technical Certification|CEDIA|2023-10-15|2023-10-18|35|35|Completed|96|Yes|No
294|4|Safety Training - Barco|Safety Training|Internal|2024-02-05|2024-03-08|26|26|Completed|83|Yes|N/A
295|140|Sales Training - Martin Logan|Sales Training|Internal|2024-02-10|2024-02-24|28|28|Completed|95|Yes|N/A
296|161|Troubleshooting Techniques - Sony Professional|Troubleshooting Techniques|Industry Association|2022-11-24|2022-12-07|8|8|Completed|72|Yes|N/A
297|23|Advanced Installation|Advanced Installation|Internal|2020-11-12|2021-01-02|17|17|Completed|72|Yes|N/A
298|37|KNX Certified Cert|Technical Certification|CEDIA|2024-08-09|2024-09-15|25|25|Completed|76|Yes|Yes
299|34|Safety Training - Sonos|Safety Training|Manufacturer|2020-06-16|2020-07-04|25|25|Completed|N/A|N/A|N/A
300|83|Advanced Installation|Advanced Installation|Internal|2024-09-10|2024-10-17|22|22|Completed|94|Yes|N/A
301|84|Troubleshooting Techniques|Troubleshooting Techniques|Industry Association|2025-03-26|2025-03-28|9|9|Completed|73|Yes|N/A
302|23|Programming Workshop|Programming Workshop|Internal|2021-01-10|TBD|12|4|In Progress|N/A|N/A|N/A
303|3|Client Communication - Somfy|Client Communication|Manufacturer|2020-04-26|2020-05-18|11|11|Completed|N/A|N/A|N/A
304|197|Advanced Installation - NAD|Advanced Installation|Online Platform|2022-04-09|2022-05-01|27|27|Completed|88|Yes|N/A
305|109|Client Communication|Client Communication|Industry Association|2020-04-01|TBD|13|4|In Progress|N/A|N/A|N/A
306|176|Troubleshooting Techniques - Kaleidescape|Troubleshooting Techniques|Manufacturer|2020-06-05|2020-07-18|30|30|Completed|88|Yes|N/A
307|80|Troubleshooting Techniques - Kaleidescape|Troubleshooting Techniques|Internal|2022-04-13|2022-06-06|10|10|Completed|88|Yes|N/A
308|181|Advanced Installation|Advanced Installation|Internal|2022-10-20|2022-11-01|31|31|Completed|89|Yes|N/A
309|21|Leadership Workshop|Leadership Workshop|Consultant|2020-08-09|TBD|23|5|In Progress|N/A|N/A|N/A
310|70|Programming Workshop|Programming Workshop|Consultant|2022-02-18|2022-03-30|23|23|Completed|94|Yes|N/A
311|49|Safety Training|Safety Training|Online Platform|2023-03-14|2023-03-27|27|27|Completed|81|Yes|N/A
312|101|Troubleshooting Techniques - Sony Professional|Troubleshooting Techniques|Consultant|2021-07-25|2021-09-06|5|5|Completed|92|Yes|N/A
313|89|Safety Training - McIntosh|Safety Training|Industry Association|2023-06-10|2023-07-05|34|34|Completed|77|Yes|N/A
314|63|New Technology Seminar|New Technology Seminar|Internal|2024-05-22|2024-06-12|10|10|Completed|70|Yes|N/A
315|9|Financial Acumen|Financial Acumen|Manufacturer|2022-06-19|2022-08-16|8|8|Completed|74|Yes|N/A
316|2|Lutron Certified Installer Cert|Technical Certification|Industry Association|2020-01-18|2020-01-24|56|56|Completed|82|Yes|Yes
317|1|Electrical Administrator Cert|Technical Certification|Internal|2023-11-22|2023-12-28|22|22|Completed|65|No|Yes
318|33|Project Management - Ubiquiti|Project Management|Online Platform|2022-10-17|2022-10-20|24|24|Completed|81|Yes|N/A
319|40|Dante Level 3 Certified Cert|Technical Certification|Industry Association|2023-02-07|2023-03-10|67|67|Completed|94|Yes|No
320|148|Troubleshooting Techniques|Troubleshooting Techniques|CEDIA|2022-07-21|2022-08-30|12|12|Completed|65|No|N/A
321|42|Advanced Installation|Advanced Installation|Industry Association|2020-06-17|2020-07-08|5|5|Completed|66|No|N/A
322|120|Advanced Installation|Advanced Installation|Industry Association|2023-12-31|TBD|39|33|In Progress|N/A|N/A|N/A
323|73|Advanced Installation|Advanced Installation|Consultant|2023-12-04|2023-12-25|10|10|Completed|71|Yes|N/A
324|108|Financial Acumen - RTI|Financial Acumen|Internal|2020-08-31|2020-10-19|11|11|Completed|94|Yes|N/A
325|159|Safety Training - Savant|Safety Training|CEDIA|2024-03-28|TBD|16|0|Did Not Complete|N/A|No|N/A
326|61|Sales Training - Anthem|Sales Training|Industry Association|2020-02-26|2020-03-02|20|20|Completed|82|Yes|N/A
327|84|Programming Workshop - Cisco Meraki|Programming Workshop|Consultant|2023-01-12|2023-02-26|37|37|Completed|N/A|N/A|N/A
328|109|Sales Training - Control4|Sales Training|Consultant|2024-10-30|2024-11-15|27|27|Completed|88|Yes|N/A
329|185|Leadership Workshop - Integra|Leadership Workshop|CEDIA|2025-01-22|2025-02-14|16|16|Completed|N/A|N/A|N/A
330|123|New Technology Seminar|New Technology Seminar|Manufacturer|2022-02-07|TBD|23|1|In Progress|N/A|N/A|N/A
331|97|Safety Training|Safety Training|Manufacturer|2020-03-12|2020-05-02|32|32|Completed|75|Yes|N/A
332|33|Financial Acumen|Financial Acumen|Consultant|2020-11-30|2020-12-13|31|31|Completed|87|Yes|N/A
333|182|Programming Workshop - Marantz|Programming Workshop|CEDIA|2022-05-24|2022-06-28|14|14|Completed|82|Yes|N/A
334|2|Safety Training|Safety Training|Internal|2024-01-12|2024-03-03|28|28|Completed|88|Yes|N/A
335|72|Safety Training|Safety Training|CEDIA|2022-08-13|2022-09-12|14|14|Completed|91|Yes|N/A
336|127|Safety Training|Safety Training|Industry Association|2023-10-17|2023-10-20|34|34|Completed|87|Yes|N/A
337|156|Safety Training|Safety Training|Industry Association|2021-11-19|2021-12-28|24|24|Completed|N/A|N/A|N/A
338|167|Product Training|Product Training|Industry Association|2024-10-23|2024-12-11|15|15|Completed|84|Yes|N/A
339|53|First Aid/CPR Cert|Technical Certification|Internal|2024-08-21|2024-10-15|79|79|Completed|N/A|N/A|No
340|170|Advanced Installation|Advanced Installation|Industry Association|2024-12-09|TBD|8|5|In Progress|N/A|N/A|N/A
341|174|Biamp Certified Cert|Technical Certification|CEDIA|2022-03-05|2022-03-11|61|61|Completed|66|No|Yes
342|62|Product Training|Product Training|CEDIA|2024-12-23|2025-01-29|4|4|Completed|N/A|N/A|N/A
343|37|Troubleshooting Techniques|Troubleshooting Techniques|Industry Association|2024-11-24|2024-12-21|13|13|Completed|84|Yes|N/A
344|85|Advanced Installation|Advanced Installation|Manufacturer|2023-10-29|2023-12-03|15|15|Completed|76|Yes|N/A
345|109|Client Communication|Client Communication|Manufacturer|2021-08-31|2021-10-30|27|27|Completed|94|Yes|N/A
346|21|Client Communication|Client Communication|Online Platform|2023-07-09|2023-08-16|25|25|Completed|70|Yes|N/A
347|183|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2025-02-11|2025-02-15|28|28|Completed|92|Yes|N/A
348|191|Client Communication - Axis|Client Communication|Industry Association|2022-09-21|TBD|40|2|In Progress|N/A|N/A|N/A
349|125|Leadership Workshop|Leadership Workshop|Manufacturer|2023-08-28|2023-10-12|31|31|Completed|75|Yes|N/A
350|90|Programming Workshop - Triad|Programming Workshop|CEDIA|2022-05-18|2022-06-18|5|5|Completed|68|No|N/A
351|155|Programming Workshop|Programming Workshop|Consultant|2022-12-03|TBD|20|7|Did Not Complete|N/A|No|N/A
352|24|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2020-09-25|2020-10-14|19|19|Completed|74|Yes|N/A
353|81|Programming Workshop - NAD|Programming Workshop|Manufacturer|2020-11-04|2020-11-07|26|26|Completed|66|No|N/A
354|67|Sonos Certified Installer Cert|Technical Certification|Industry Association|2020-10-21|2020-12-12|72|72|Completed|76|Yes|No
355|108|Leadership Workshop|Leadership Workshop|Industry Association|2020-01-06|2020-02-15|39|39|Completed|65|No|N/A
356|23|Advanced Installation|Advanced Installation|CEDIA|2020-11-21|TBD|25|18|In Progress|N/A|N/A|N/A
357|99|Advanced Installation|Advanced Installation|Consultant|2020-11-01|2020-12-06|9|9|Completed|70|Yes|N/A
358|126|Troubleshooting Techniques - Ubiquiti|Troubleshooting Techniques|Online Platform|2023-06-24|2023-08-22|36|36|Completed|N/A|N/A|N/A
359|55|Leadership Workshop|Leadership Workshop|CEDIA|2020-07-02|2020-07-31|24|24|Completed|80|Yes|N/A
360|177|Leadership Workshop - McIntosh|Leadership Workshop|Manufacturer|2022-04-24|2022-06-09|12|12|Completed|68|No|N/A
361|111|First Aid/CPR Cert|Technical Certification|Industry Association|2022-10-04|TBD|32|11|In Progress|N/A|N/A|N/A
362|142|Client Communication - Screen Innovations|Client Communication|Manufacturer|2024-03-16|2024-05-01|30|30|Completed|68|No|N/A
363|83|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2022-12-24|2023-01-28|40|40|Completed|78|Yes|N/A
364|118|Troubleshooting Techniques - McIntosh|Troubleshooting Techniques|CEDIA|2020-02-02|TBD|12|4|Did Not Complete|N/A|No|N/A
365|54|Financial Acumen - Axis|Financial Acumen|CEDIA|2022-07-05|2022-07-29|7|7|Completed|91|Yes|N/A
366|149|Design Software - RTI|Design Software|Internal|2021-11-16|TBD|39|1|In Progress|N/A|N/A|N/A
367|1|KNX Certified Cert|Technical Certification|Internal|2024-04-01|2024-05-10|38|38|Completed|84|Yes|Yes
368|83|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2024-02-25|2024-03-05|6|6|Completed|88|Yes|N/A
369|184|Client Communication|Client Communication|Industry Association|2022-04-30|2022-06-13|35|35|Completed|82|Yes|N/A
370|180|Advanced Installation|Advanced Installation|Industry Association|2020-10-28|2020-12-21|26|26|Completed|75|Yes|N/A
371|11|Biamp Certified Cert|Technical Certification|Industry Association|2023-05-26|2023-07-19|37|37|Completed|N/A|N/A|Yes
372|163|Product Training|Product Training|Industry Association|2023-10-30|2023-11-25|5|5|Completed|67|No|N/A
373|75|Client Communication|Client Communication|Online Platform|2024-12-01|2024-12-07|34|34|Completed|77|Yes|N/A
374|9|Sales Training - Bowers & Wilkins|Sales Training|Industry Association|2022-10-17|2022-11-21|20|20|Completed|91|Yes|N/A
375|83|Advanced Installation|Advanced Installation|CEDIA|2024-07-13|2024-08-17|33|33|Completed|86|Yes|N/A
376|17|Sonos Certified Installer Cert|Technical Certification|CEDIA|2024-01-19|TBD|26|15|In Progress|N/A|N/A|N/A
377|82|Sales Training|Sales Training|Industry Association|2020-09-01|TBD|17|2|Did Not Complete|N/A|No|N/A
378|36|Safety Training - Ruckus|Safety Training|Manufacturer|2024-05-21|TBD|14|8|In Progress|N/A|N/A|N/A
379|74|Safety Training - Josh.ai|Safety Training|Consultant|2024-06-22|TBD|16|5|In Progress|N/A|N/A|N/A
380|73|Safety Training|Safety Training|Online Platform|2024-01-09|2024-01-30|29|29|Completed|96|Yes|N/A
381|195|Leadership Workshop|Leadership Workshop|CEDIA|2025-01-01|2025-02-04|26|26|Completed|79|Yes|N/A
382|176|Troubleshooting Techniques - Kaleidescape|Troubleshooting Techniques|Manufacturer|2024-07-09|2024-08-06|27|27|Completed|81|Yes|N/A
383|146|Manufacturer Update|Manufacturer Update|Manufacturer|2023-04-16|2023-05-15|13|13|Completed|97|Yes|N/A
384|58|Leadership Workshop|Leadership Workshop|Manufacturer|2020-04-06|2020-05-10|40|40|Completed|84|Yes|N/A
385|48|Advanced Installation|Advanced Installation|Consultant|2024-06-03|TBD|20|6|Did Not Complete|N/A|No|N/A
386|55|Sales Training|Sales Training|Internal|2025-02-28|2025-04-09|22|22|Completed|89|Yes|N/A
387|80|Elan Certified Cert|Technical Certification|Manufacturer|2020-03-21|TBD|24|11|In Progress|N/A|N/A|N/A
388|124|Project Management - Screen Innovations|Project Management|Manufacturer|2020-12-14|2021-01-30|18|18|Completed|78|Yes|N/A
389|84|Advanced Installation|Advanced Installation|Online Platform|2020-01-20|2020-03-16|36|36|Completed|68|No|N/A
390|8|Troubleshooting Techniques - Triad|Troubleshooting Techniques|Online Platform|2023-02-25|2023-04-07|23|23|Completed|77|Yes|N/A
391|162|Financial Acumen - Josh.ai|Financial Acumen|Industry Association|2025-03-19|2025-04-09|8|8|Completed|71|Yes|N/A
392|62|Safety Training|Safety Training|Manufacturer|2020-03-10|2020-03-25|5|5|Completed|79|Yes|N/A
393|135|Advanced Installation|Advanced Installation|Industry Association|2024-07-14|2024-08-11|33|33|Completed|73|Yes|N/A
394|167|Programming Workshop - Axis|Programming Workshop|Manufacturer|2021-07-23|2021-08-06|15|15|Completed|98|Yes|N/A
395|193|Manufacturer Update - Control4|Manufacturer Update|Internal|2024-10-15|2024-11-02|26|26|Completed|85|Yes|N/A
396|102|Advanced Installation|Advanced Installation|CEDIA|2021-01-27|2021-03-10|6|6|Completed|70|Yes|N/A
397|25|Troubleshooting Techniques - RTI|Troubleshooting Techniques|Industry Association|2022-02-19|TBD|9|8|In Progress|N/A|N/A|N/A
398|102|KNX Certified Cert|Technical Certification|Online Platform|2020-05-13|2020-06-29|21|21|Completed|82|Yes|Yes
399|95|Advanced Installation - RTI|Advanced Installation|CEDIA|2024-03-21|2024-05-19|35|35|Completed|86|Yes|N/A
400|146|Manufacturer Update|Manufacturer Update|Manufacturer|2022-11-09|2022-11-13|18|18|Completed|66|No|N/A
401|115|Electrical Administrator Cert|Technical Certification|Consultant|2021-05-04|2021-05-11|36|36|Completed|84|Yes|No
402|124|Sales Training - Elan|Sales Training|Internal|2023-07-16|2023-09-06|33|33|Completed|83|Yes|N/A
403|35|Project Management - McIntosh|Project Management|Internal|2022-04-26|2022-05-28|22|22|Completed|71|Yes|N/A
404|65|Programming Workshop - Stewart Filmscreen|Programming Workshop|Internal|2024-01-15|TBD|12|10|In Progress|N/A|N/A|N/A
405|19|Troubleshooting Techniques|Troubleshooting Techniques|Online Platform|2022-11-04|2022-12-06|35|35|Completed|67|No|N/A
406|30|Troubleshooting Techniques - Anthem|Troubleshooting Techniques|Manufacturer|2021-03-06|2021-03-24|18|18|Completed|68|No|N/A
407|123|Manufacturer Update|Manufacturer Update|Online Platform|2022-11-29|2022-12-20|27|27|Completed|68|No|N/A
408|173|Advanced Installation|Advanced Installation|Industry Association|2020-03-21|2020-04-17|8|8|Completed|89|Yes|N/A
409|110|Manufacturer Update - Meridian|Manufacturer Update|CEDIA|2023-02-07|2023-04-05|29|29|Completed|98|Yes|N/A
410|186|Safety Training|Safety Training|Online Platform|2022-01-04|2022-01-18|4|4|Completed|81|Yes|N/A
411|167|Troubleshooting Techniques|Troubleshooting Techniques|Online Platform|2020-02-17|2020-03-10|6|6|Completed|95|Yes|N/A
412|188|Design Software - Integra|Design Software|Internal|2021-07-07|2021-09-04|33|33|Completed|83|Yes|N/A
413|18|Product Training - Cisco Meraki|Product Training|Consultant|2024-11-20|TBD|20|9|In Progress|N/A|N/A|N/A
414|72|Programming Workshop - RTI|Programming Workshop|Manufacturer|2022-09-14|TBD|37|18|In Progress|N/A|N/A|N/A
415|123|New Technology Seminar|New Technology Seminar|CEDIA|2021-02-23|2021-03-02|20|20|Completed|86|Yes|N/A
416|167|Safety Training|Safety Training|Internal|2022-11-17|2023-01-12|39|39|Completed|69|No|N/A
417|24|Product Training|Product Training|Industry Association|2020-07-18|2020-07-20|5|5|Completed|71|Yes|N/A
418|141|Financial Acumen|Financial Acumen|Manufacturer|2020-05-03|2020-06-12|29|29|Completed|66|No|N/A
419|51|Sales Training - Control4|Sales Training|Manufacturer|2022-06-29|TBD|30|10|Did Not Complete|N/A|No|N/A
420|139|New Technology Seminar|New Technology Seminar|Online Platform|2022-12-28|2023-02-12|14|14|Completed|83|Yes|N/A
421|185|Client Communication|Client Communication|Manufacturer|2022-08-23|2022-09-11|39|39|Completed|87|Yes|N/A
422|102|Product Training - Ruckus|Product Training|Consultant|2023-06-13|2023-07-18|31|31|Completed|79|Yes|N/A
423|98|Josh.ai Certified Cert|Technical Certification|Manufacturer|2021-07-23|2021-08-27|52|52|Completed|95|Yes|Yes
424|171|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2021-10-30|2021-12-14|19|19|Completed|N/A|N/A|N/A
425|192|Troubleshooting Techniques - Dynaudio|Troubleshooting Techniques|Internal|2022-11-30|2023-01-26|9|9|Completed|66|No|N/A
426|90|Troubleshooting Techniques - Somfy|Troubleshooting Techniques|Online Platform|2022-10-13|2022-10-24|40|40|Completed|93|Yes|N/A
427|189|Leadership Workshop - Meridian|Leadership Workshop|Manufacturer|2022-12-07|2022-12-21|9|9|Completed|100|Yes|N/A
428|138|Safety Training|Safety Training|Online Platform|2023-07-26|2023-08-26|36|36|Completed|N/A|N/A|N/A
429|60|Advanced Installation - Dynaudio|Advanced Installation|Online Platform|2024-12-25|2025-02-11|5|5|Completed|94|Yes|N/A
430|152|Product Training - Anthem|Product Training|Industry Association|2024-12-01|2025-01-13|17|17|Completed|90|Yes|N/A
431|109|Financial Acumen - Cisco Meraki|Financial Acumen|Online Platform|2020-07-17|TBD|23|3|In Progress|N/A|N/A|N/A
432|127|Control4 Gold Certified Cert|Technical Certification|Industry Association|2022-06-25|2022-07-04|50|50|Completed|N/A|N/A|Yes
433|117|Safety Training - NAD|Safety Training|Consultant|2020-03-14|2020-03-18|35|35|Completed|93|Yes|N/A
434|133|Project Management - Control4|Project Management|CEDIA|2021-01-09|2021-02-24|16|16|Completed|77|Yes|N/A
435|114|Cisco Network Professional Cert|Technical Certification|Consultant|2024-01-30|2024-03-03|35|35|Completed|N/A|N/A|Yes
436|185|Client Communication - Barco|Client Communication|Consultant|2025-02-15|2025-03-31|11|11|Completed|83|Yes|N/A
437|24|KNX Certified Cert|Technical Certification|Consultant|2022-08-28|2022-09-28|48|48|Completed|75|Yes|No
438|185|Sales Training - Triad|Sales Training|Internal|2021-11-28|2021-12-07|4|4|Completed|74|Yes|N/A
439|184|Leadership Workshop|Leadership Workshop|CEDIA|2024-07-10|2024-09-05|28|28|Completed|88|Yes|N/A
440|190|Financial Acumen|Financial Acumen|Online Platform|2023-04-13|2023-06-09|10|10|Completed|N/A|N/A|N/A
441|11|Safety Training|Safety Training|CEDIA|2022-09-30|2022-11-24|10|10|Completed|95|Yes|N/A
442|39|CEDIA Certified Cert|Technical Certification|Consultant|2020-02-21|2020-03-12|73|73|Completed|87|Yes|No
443|23|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2022-08-21|2022-10-14|29|29|Completed|84|Yes|N/A
444|171|Troubleshooting Techniques|Troubleshooting Techniques|CEDIA|2020-06-09|2020-06-15|36|36|Completed|65|No|N/A
445|47|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2023-12-22|2024-02-08|19|19|Completed|77|Yes|N/A
446|27|Vantage Lighting Certified Cert|Technical Certification|Internal|2022-08-04|2022-08-31|56|56|Completed|79|Yes|Yes
447|12|CEDIA Certified Cert|Technical Certification|CEDIA|2023-04-05|2023-06-01|31|31|Completed|83|Yes|Yes
448|115|Product Training - KEF|Product Training|Consultant|2020-10-02|2020-11-23|8|8|Completed|65|No|N/A
449|37|Programming Workshop - Integra|Programming Workshop|Manufacturer|2025-02-22|2025-03-10|12|12|Completed|95|Yes|N/A
450|194|Product Training - Epson Pro Cinema|Product Training|CEDIA|2021-02-18|2021-03-26|32|32|Completed|86|Yes|N/A
451|192|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2022-05-01|2022-06-27|33|33|Completed|91|Yes|N/A
452|109|Leadership Workshop|Leadership Workshop|Online Platform|2024-10-12|2024-10-17|16|16|Completed|88|Yes|N/A
453|123|System Architecture|System Architecture|Consultant|2021-08-19|2021-09-18|4|4|Completed|N/A|N/A|N/A
454|135|Product Training - Paradigm|Product Training|Manufacturer|2024-01-19|2024-01-22|20|20|Completed|100|Yes|N/A
455|155|Advanced Installation - Lutron|Advanced Installation|CEDIA|2024-12-18|2025-01-23|14|14|Completed|89|Yes|N/A
456|77|Client Communication - Bowers & Wilkins|Client Communication|Consultant|2023-07-25|2023-08-15|26|26|Completed|82|Yes|N/A
457|2|Advanced Installation - JBL Synthesis|Advanced Installation|Industry Association|2021-08-08|2021-08-20|18|18|Completed|73|Yes|N/A
458|61|Project Management - Triad|Project Management|Online Platform|2021-04-04|TBD|21|6|In Progress|N/A|N/A|N/A
459|96|Safety Training|Safety Training|Online Platform|2023-07-07|TBD|5|0|Did Not Complete|N/A|No|N/A
460|78|Product Training|Product Training|Online Platform|2024-06-14|2024-08-07|7|7|Completed|74|Yes|N/A
461|69|Sales Training|Sales Training|Industry Association|2023-09-19|TBD|35|27|In Progress|N/A|N/A|N/A
462|96|Low Voltage License Cert|Technical Certification|Industry Association|2024-07-30|2024-08-13|48|48|Completed|70|Yes|Yes
463|72|Safety Training|Safety Training|Online Platform|2022-02-03|2022-03-31|35|35|Completed|65|No|N/A
464|29|Advanced Installation|Advanced Installation|CEDIA|2022-11-04|2022-12-15|7|7|Completed|87|Yes|N/A
465|46|Programming Workshop|Programming Workshop|Internal|2021-11-02|2021-12-25|21|21|Completed|69|No|N/A
466|176|Advanced Installation - Barco|Advanced Installation|Consultant|2020-06-09|2020-07-26|35|35|Completed|96|Yes|N/A
467|8|Safety Training|Safety Training|Manufacturer|2025-01-17|2025-02-25|33|33|Completed|100|Yes|N/A
468|127|Product Training - Lutron|Product Training|Online Platform|2020-01-22|2020-03-12|5|5|Completed|100|Yes|N/A
