TimelineEntryID|ProjectID|Milestone|EstimatedDate|ActualDate|Status|Notes
1928|246|Materials Ordered|2022-07-08|2022-07-16|Completed|Delayed - Materials
1929|246|Rough-In Start|2022-07-13|2022-07-20|Completed|
1930|246|Rough-In Complete|2022-07-20|2022-07-23|Completed|
1931|246|Trim-Out Start|2022-07-30|2022-07-31|Completed|
1932|246|Trim-Out Complete|2022-07-31|2022-08-04|Completed|
1933|246|Programming Start|2022-08-07|2022-08-18|Completed|Delayed - Inspections
1934|246|Programming Complete|2022-08-18|2022-08-19|Completed|
1935|246|Final Walkthrough|2022-08-23|2022-08-24|Completed|
1936|247|Design Approval|2023-02-19|2023-02-18|Completed|
1937|247|Materials Ordered|2023-03-05|2023-02-27|Completed|
1938|247|Rough-In Start|2023-03-10|2023-03-03|Completed|
1939|247|Rough-In Complete|2023-03-18|2023-03-25|Completed|Delayed - Materials
1940|247|Trim-Out Start|2023-03-19|2023-04-02|Completed|Delayed - Materials
1941|247|Trim-Out Complete|2023-03-26|2023-04-03|Completed|
1942|247|Programming Start|2023-04-05|2023-04-08|Completed|
1943|247|Programming Complete|2023-04-13|2023-04-11|Completed|
1944|247|Final Walkthrough|2023-04-24|2023-04-30|Completed|Delayed - Inspections
1945|248|Design Approval|2022-10-10|2022-10-17|Completed|Delayed - Materials
1946|248|Materials Ordered|2022-10-25|2022-11-02|Completed|Delayed - Materials
1947|248|Rough-In Start|2022-11-06|2022-11-09|Completed|
1948|248|Rough-In Complete|2022-11-12|2022-11-10|Completed|
1949|248|Trim-Out Start|2022-11-30|2022-12-02|Completed|
1950|248|Trim-Out Complete|2022-12-03|2022-12-05|Completed|
1951|248|Programming Start|2022-12-15|2022-12-12|Completed|
1952|248|Programming Complete|2023-01-03|2022-12-31|Completed|
1953|248|Final Walkthrough|2023-01-09|2023-01-23|Completed|Delayed - Inspections
1954|249|Design Approval|2022-09-30|2022-10-07|Completed|Delayed - Inspections
1955|249|Materials Ordered|2022-10-18|2022-10-14|Completed|
1956|249|Rough-In Start|2022-10-31|2022-11-14|Completed|Delayed - Materials
1957|249|Rough-In Complete|2022-11-21|2022-11-15|Completed|
1958|249|Trim-Out Start|2022-12-03|2022-12-13|Completed|Delayed - Materials
1959|249|Trim-Out Complete|2022-12-12|2022-12-18|Completed|Delayed - Client Request
1960|249|Programming Start|2022-12-28|2022-12-28|Completed|
1961|249|Programming Complete|2023-01-13|2023-01-12|Completed|
1962|249|Final Walkthrough|2023-01-25|2023-01-30|Completed|
1963|250|Design Approval|2021-10-06|2021-10-08|Completed|
1964|250|Materials Ordered|2021-10-28|2021-11-06|Completed|Delayed - Inspections
1965|250|Rough-In Start|2021-11-13|2021-11-26|Completed|Delayed - Materials
1966|250|Rough-In Complete|2021-11-24|2021-11-28|Completed|
1967|250|Trim-Out Start|2021-12-11|2021-12-07|Completed|
1968|250|Trim-Out Complete|2021-12-19|2021-12-21|Completed|
1969|250|Programming Start|2022-01-08|2022-01-22|Completed|Delayed - Inspections
1970|250|Programming Complete|2022-01-18|2022-01-23|Completed|
1971|250|Final Walkthrough|2022-01-30|2022-02-08|Completed|Delayed - Materials
1972|251|Design Approval|2021-02-04|2021-02-06|Completed|
1973|251|Materials Ordered|2021-02-13|2021-02-07|Completed|
1974|251|Rough-In Start|2021-02-25|2021-03-04|Completed|Delayed - Inspections
1975|251|Rough-In Complete|2021-03-07|2021-03-20|Completed|Delayed - Inspections
1976|251|Trim-Out Start|2021-03-23|2021-03-22|Completed|
1977|251|Trim-Out Complete|2021-04-09|2021-04-22|Completed|Delayed - Client Request
1978|251|Programming Start|2021-04-13|2021-04-25|Completed|
1979|251|Programming Complete|2021-04-28|2021-04-26|Completed|
1980|251|Final Walkthrough|2021-05-13|2021-05-23|Completed|Delayed - Client Request
1981|252|Design Approval|2022-07-21|2022-07-21|Completed|
1982|252|Materials Ordered|2022-07-31|2022-07-27|Completed|
1983|252|Rough-In Start|2022-08-26|2022-09-05|Completed|Delayed - Inspections
1984|252|Rough-In Complete|2022-09-10|2022-09-16|Completed|Delayed - Materials
1985|252|Trim-Out Start|2022-09-29|2022-10-07|Completed|Delayed - Client Request
1986|252|Trim-Out Complete|2022-10-13|2022-10-08|Completed|
1987|252|Programming Start|2022-11-01|2022-11-05|Completed|
1988|252|Programming Complete|2022-11-22|2022-11-22|Completed|
1989|252|Final Walkthrough|2022-12-05|2022-12-17|Completed|Delayed - Inspections
1990|253|Design Approval|2023-09-09|2023-09-07|Completed|
1991|253|Materials Ordered|2023-09-27|2023-10-04|Completed|Delayed - Materials
1992|253|Rough-In Start|2023-10-02|2023-10-04|Completed|
1993|253|Rough-In Complete|2023-10-20|2023-10-31|Completed|Delayed - Materials
1994|253|Trim-Out Start|2023-10-29|2023-11-09|Completed|Delayed - Client Request
1995|253|Trim-Out Complete|2023-11-05|2023-11-14|Completed|
1996|253|Programming Start|2023-11-20|2023-11-19|Completed|
1997|253|Programming Complete|2023-12-03|2023-11-26|Completed|
1998|253|Final Walkthrough|2023-12-13|2023-12-10|Completed|
1999|254|Design Approval|2022-01-04|2022-01-08|Completed|
2000|254|Materials Ordered|2022-01-16|2022-01-10|Completed|
2001|254|Rough-In Start|2022-02-04|2022-02-15|Completed|Delayed - Materials
2002|254|Rough-In Complete|2022-02-16|2022-02-16|Completed|
2003|254|Trim-Out Start|2022-03-14|2022-03-13|Completed|
2004|254|Trim-Out Complete|2022-04-02|2022-04-14|Completed|Delayed - Inspections
2005|254|Programming Start|2022-04-17|2022-04-19|Completed|
2006|254|Programming Complete|2022-05-03|2022-05-01|Completed|
2007|254|Final Walkthrough|2022-05-20|2022-05-29|Completed|Delayed - Materials
2008|256|Design Approval|2021-02-19|2021-02-12|Completed|
2009|256|Materials Ordered|2021-03-12|2021-03-14|Completed|
2010|256|Rough-In Start|2021-04-05|2021-04-12|Completed|Delayed - Client Request
2011|256|Rough-In Complete|2021-04-17|2021-04-29|Completed|Delayed - Client Request
2012|256|Trim-Out Start|2021-05-14|2021-05-08|Completed|
2013|256|Trim-Out Complete|2021-05-25|2021-06-04|Completed|Delayed - Client Request
2014|256|Programming Start|2021-06-13|2021-06-14|Completed|
2015|256|Programming Complete|2021-07-03|2021-06-29|Completed|
2016|256|Final Walkthrough|2021-08-02|2021-08-07|Completed|
2017|257|Design Approval|2021-01-30|2021-02-01|Completed|
2018|257|Materials Ordered|2021-02-03|2021-02-14|Completed|Delayed - Inspections
2019|257|Rough-In Start|2021-02-20|2021-02-18|Completed|
2020|257|Rough-In Complete|2021-02-25|2021-02-22|Completed|
2021|257|Trim-Out Start|2021-03-18|2021-03-26|Completed|Delayed - Materials
2022|257|Trim-Out Complete|2021-03-28|2021-03-26|Completed|
2023|257|Programming Start|2021-04-02|2021-04-08|Completed|Delayed - Materials
2024|257|Programming Complete|2021-04-14|2021-04-12|Completed|
2025|257|Final Walkthrough|2021-04-29|2021-05-13|Completed|Delayed - Inspections
2026|258|Design Approval|2024-08-04|2024-08-14|Completed|Delayed - Client Request
2027|258|Materials Ordered|2024-08-13|2024-08-19|Completed|
2028|258|Rough-In Start|2024-08-14|2024-08-22|Completed|
2029|258|Rough-In Complete|2024-08-16|2024-08-25|Completed|
2030|258|Trim-Out Start|2024-08-26|2024-09-01|Completed|Delayed - Client Request
2031|258|Trim-Out Complete|2024-08-27|2024-09-05|Completed|
2032|258|Programming Start|2024-08-31|2024-09-10|Completed|
2033|258|Programming Complete|2024-09-03|2024-09-14|Completed|
2034|258|Final Walkthrough|2024-09-04|2024-09-15|Completed|Delayed - Inspections
2035|259|Design Approval|2023-11-24|2023-11-25|Completed|
2036|259|Materials Ordered|2023-12-08|2023-12-18|Completed|Delayed - Inspections
2037|259|Rough-In Start|2023-12-14|2023-12-23|Completed|
2038|259|Rough-In Complete|2024-01-01|2023-12-25|Completed|
2039|259|Trim-Out Start|2024-01-14|2024-01-15|Completed|
2040|259|Trim-Out Complete|2024-01-24|2024-01-21|Completed|
2041|259|Programming Start|2024-01-28|2024-01-24|Completed|
2042|259|Programming Complete|2024-02-11|2024-02-21|Completed|Delayed - Inspections
2043|259|Final Walkthrough|2024-02-20|2024-03-03|Completed|Delayed - Inspections
2044|260|Design Approval|2022-12-21|2022-12-14|Completed|
2045|260|Materials Ordered|2023-01-07|2023-01-03|Completed|
2046|260|Rough-In Start|2023-01-26|2023-02-04|Completed|Delayed - Inspections
2047|260|Rough-In Complete|2023-02-16|2023-02-28|Completed|Delayed - Inspections
2048|260|Trim-Out Start|2023-03-05|2023-03-02|Completed|
2049|260|Trim-Out Complete|2023-03-24|2023-03-31|Completed|Delayed - Client Request
2050|260|Programming Start|2023-04-09|2023-04-02|Completed|
2051|260|Programming Complete|2023-05-05|2023-05-07|Completed|
2052|260|Final Walkthrough|2023-05-18|2023-05-15|Completed|
2053|261|Design Approval|2023-04-26|2023-04-28|Completed|
2054|261|Materials Ordered|2023-04-28|2023-05-02|Completed|
2055|261|Rough-In Start|2023-05-09|2023-05-14|Completed|
2056|261|Rough-In Complete|2023-05-13|2023-05-18|Completed|
2057|261|Trim-Out Start|2023-05-20|2023-05-22|Completed|
2058|261|Trim-Out Complete|2023-05-24|2023-05-26|Completed|
2059|261|Programming Start|2023-05-27|2023-05-30|Completed|
2060|261|Programming Complete|2023-05-28|2023-06-03|Completed|Delayed - Client Request
2061|261|Final Walkthrough|2023-06-04|2023-06-04|Completed|
2062|262|Design Approval|2021-03-04|2021-03-18|Completed|Delayed - Inspections
2063|262|Materials Ordered|2021-03-15|2021-03-19|Completed|
2064|262|Rough-In Start|2021-03-18|2021-03-22|Completed|
2065|262|Rough-In Complete|2021-03-19|2021-03-24|Completed|
2066|262|Trim-Out Start|2021-03-26|2021-04-07|Completed|Delayed - Inspections
2067|262|Trim-Out Complete|2021-03-27|2021-04-13|Completed|
2068|262|Programming Start|2021-03-28|2021-04-14|Completed|
2069|262|Programming Complete|2021-03-29|2021-04-15|Completed|
2070|262|Final Walkthrough|2021-04-05|2021-04-18|Completed|
2071|263|Design Approval|2022-01-06|2022-01-17|Completed|Delayed - Materials
2072|263|Materials Ordered|2022-01-11|2022-01-18|Completed|
2073|263|Rough-In Start|2022-01-26|2022-01-21|Completed|
2074|263|Rough-In Complete|2022-02-15|2022-02-09|Completed|
2075|263|Trim-Out Start|2022-02-28|2022-03-09|Completed|Delayed - Client Request
2076|263|Trim-Out Complete|2022-03-17|2022-03-19|Completed|
2077|263|Programming Start|2022-04-05|2022-04-06|Completed|
2078|263|Programming Complete|2022-04-15|2022-04-24|Completed|Delayed - Materials
2079|263|Final Walkthrough|2022-05-02|2022-05-04|Completed|
2080|264|Design Approval|2022-07-07|2022-07-05|Completed|
2081|264|Materials Ordered|2022-07-10|2022-07-10|Completed|
2082|264|Rough-In Start|2022-07-25|2022-08-04|Completed|Slight delay - Materials
2083|264|Rough-In Complete|2022-08-01|2022-08-06|Completed|Slight delay - Materials
2084|264|Trim-Out Start|2022-08-07|2022-08-09|Completed|
2085|264|Trim-Out Complete|2022-08-20|2022-08-29|Completed|Ahead of schedule
2086|264|Programming Start|2022-08-31|2022-09-01|Completed|
2087|264|Programming Complete|2022-09-10|2022-09-18|Completed|Ahead of schedule
2088|264|Final Walkthrough|2022-09-15|2022-09-20|Completed|
2089|265|Design Approval|2024-09-29|2024-10-06|Completed|Delayed - Client Request
2090|265|Materials Ordered|2024-09-30|2024-10-11|Completed|Delayed - Inspections
2091|265|Rough-In Start|2024-10-09|2024-10-22|Completed|Delayed - Client Request
2092|265|Rough-In Complete|2024-10-19|2024-10-27|Completed|
2093|265|Trim-Out Start|2024-10-27|2024-11-08|Completed|Delayed - Inspections
2094|265|Trim-Out Complete|2024-10-29|2024-11-11|Completed|
2095|265|Programming Start|2024-11-09|2024-11-14|Completed|
2096|265|Programming Complete|2024-11-12|2024-11-17|Completed|
2097|265|Final Walkthrough|2024-11-20|2024-11-27|Completed|Delayed - Inspections
2098|269|Design Approval|2023-02-10|2023-02-06|Completed|
2099|269|Materials Ordered|2023-02-23|2023-03-05|Completed|Ahead of schedule
2100|269|Rough-In Start|2023-03-16|2023-03-22|Completed|Slight delay - Materials
2101|269|Rough-In Complete|2023-03-26|2023-04-02|Completed|Slight delay - Materials
2102|269|Trim-Out Start|2023-04-08|2023-04-07|Completed|
2103|269|Trim-Out Complete|2023-04-25|2023-04-22|Completed|
2104|269|Programming Start|2023-05-11|2023-05-08|Completed|
2105|269|Programming Complete|2023-05-26|2023-05-25|Completed|
2106|269|Final Walkthrough|2023-06-06|2023-06-01|Completed|
2107|270|Design Approval|2021-10-02|2021-10-04|Completed|
2108|270|Materials Ordered|2021-10-12|2021-10-21|Completed|Ahead of schedule
2109|270|Rough-In Start|2021-10-31|2021-11-10|Completed|Slight delay - Materials
2110|270|Rough-In Complete|2021-11-11|2021-11-10|Completed|
2111|270|Trim-Out Start|2021-11-16|2021-11-17|Completed|
2112|270|Trim-Out Complete|2021-12-03|2021-12-03|Completed|
2113|270|Programming Start|2021-12-13|2021-12-17|Completed|Slight delay - Materials
2114|270|Programming Complete|2021-12-31|2021-12-31|Completed|
2115|270|Final Walkthrough|2022-01-08|2022-01-09|Completed|
2116|271|Design Approval|2023-05-01|2023-05-15|Completed|Delayed - Client Request
2117|271|Materials Ordered|2023-05-02|2023-05-18|Completed|Delayed - Materials
2118|271|Rough-In Start|2023-05-17|2023-05-19|Completed|
2119|271|Rough-In Complete|2023-05-18|2023-05-22|Completed|
2120|271|Trim-Out Start|2023-05-24|2023-05-22|Completed|
2121|271|Trim-Out Complete|2023-05-29|2023-06-06|Completed|Delayed - Client Request
2122|271|Programming Start|2023-06-11|2023-06-17|Completed|Delayed - Client Request
2123|271|Programming Complete|2023-06-12|2023-06-24|Completed|
2124|271|Final Walkthrough|2023-06-25|2023-07-06|Completed|Delayed - Materials
2125|272|Design Approval|2024-02-26|2024-02-27|Completed|
2126|272|Materials Ordered|2024-03-02|2024-03-01|Completed|
2127|272|Rough-In Start|2024-03-22|2024-03-19|Completed|
2128|272|Rough-In Complete|2024-04-10|2024-04-18|Completed|Delayed - Materials
2129|272|Trim-Out Start|2024-04-23|2024-04-19|Completed|
2130|272|Trim-Out Complete|2024-05-02|2024-05-11|Completed|Delayed - Materials
2131|272|Programming Start|2024-05-21|2024-05-24|Completed|
2132|272|Programming Complete|2024-06-08|2024-06-08|Completed|
2133|272|Final Walkthrough|2024-06-17|2024-06-29|Completed|Delayed - Client Request
2134|273|Design Approval|2023-12-21|2024-01-01|Completed|Delayed - Inspections
2135|273|Materials Ordered|2023-12-26|2024-01-08|Completed|
2136|273|Rough-In Start|2024-01-09|2024-01-09|Completed|
2137|273|Rough-In Complete|2024-01-13|2024-01-14|Completed|
2138|273|Trim-Out Start|2024-01-14|2024-01-18|Completed|
2139|273|Trim-Out Complete|2024-01-26|2024-02-07|Completed|Delayed - Client Request
2140|273|Programming Start|2024-01-27|2024-02-13|Completed|Delayed - Client Request
2141|273|Programming Complete|2024-02-05|2024-02-18|Completed|
2142|273|Final Walkthrough|2024-02-06|2024-02-20|Completed|Delayed - Materials
2143|274|Design Approval|2022-04-24|2022-05-08|Completed|Delayed - Inspections
2144|274|Materials Ordered|2022-05-05|2022-05-16|Completed|Delayed - Client Request
2145|274|Rough-In Start|2022-05-15|2022-05-22|Completed|Delayed - Materials
2146|274|Rough-In Complete|2022-05-25|2022-06-04|Completed|Delayed - Materials
2147|274|Trim-Out Start|2022-06-06|2022-06-17|Completed|Delayed - Materials
2148|274|Trim-Out Complete|2022-06-18|2022-06-22|Completed|
2149|274|Programming Start|2022-06-26|2022-07-08|Completed|Delayed - Inspections
2150|274|Programming Complete|2022-07-13|2022-07-20|Completed|Delayed - Inspections
2151|274|Final Walkthrough|2022-07-17|2022-07-25|Completed|
2152|275|Design Approval|2024-10-09|2024-10-18|Completed|Ahead of schedule
2153|275|Materials Ordered|2024-10-20|2024-10-18|Completed|
2154|275|Rough-In Start|2024-10-28|2024-11-03|Completed|Ahead of schedule
2155|275|Rough-In Complete|2024-11-03|2024-11-05|Completed|
2156|275|Trim-Out Start|2024-11-10|2024-11-06|Completed|
2157|275|Trim-Out Complete|2024-11-19|2024-11-20|Completed|
2158|275|Programming Start|2024-12-03|2024-12-07|Completed|Ahead of schedule
2159|275|Programming Complete|2024-12-07|2024-12-09|Completed|
2160|275|Final Walkthrough|2024-12-18|2024-12-26|Completed|Ahead of schedule
2161|276|Design Approval|2021-08-09|2021-08-20|Completed|Delayed - Client Request
2162|276|Materials Ordered|2021-08-22|2021-09-03|Completed|Delayed - Inspections
2163|276|Rough-In Start|2021-09-04|2021-09-13|Completed|Delayed - Client Request
2164|276|Rough-In Complete|2021-09-12|2021-09-16|Completed|
2165|276|Trim-Out Start|2021-09-22|2021-10-05|Completed|Delayed - Inspections
2166|276|Trim-Out Complete|2021-10-05|2021-10-11|Completed|
2167|276|Programming Start|2021-10-07|2021-10-16|Completed|
2168|276|Programming Complete|2021-10-17|2021-10-23|Completed|Delayed - Materials
2169|276|Final Walkthrough|2021-11-01|2021-11-03|Completed|
2170|277|Design Approval|2023-07-27|2023-08-02|Completed|Delayed - Client Request
2171|277|Materials Ordered|2023-08-11|2023-08-19|Completed|Delayed - Materials
2172|277|Rough-In Start|2023-08-23|2023-09-04|Completed|Delayed - Client Request
2173|277|Rough-In Complete|2023-08-31|2023-09-05|Completed|
2174|277|Trim-Out Start|2023-09-22|2023-10-06|Completed|Delayed - Client Request
2175|277|Trim-Out Complete|2023-10-09|2023-10-09|Completed|
2176|277|Programming Start|2023-10-15|2023-10-21|Completed|Delayed - Inspections
2177|277|Programming Complete|2023-11-06|2023-11-14|Completed|Delayed - Client Request
2178|277|Final Walkthrough|2023-11-23|2023-11-24|Completed|
2179|278|Design Approval|2023-09-25|2023-09-23|Completed|
2180|278|Materials Ordered|2023-10-10|2023-10-20|Completed|Delayed - Client Request
2181|278|Rough-In Start|2023-10-17|2023-10-26|Completed|
2182|278|Rough-In Complete|2023-11-04|2023-11-17|Completed|Delayed - Client Request
2183|278|Trim-Out Start|2023-11-13|2023-11-18|Completed|
2184|278|Trim-Out Complete|2023-11-27|2023-11-29|Completed|
2185|278|Programming Start|2023-12-05|2023-11-30|Completed|
2186|278|Programming Complete|2023-12-24|2023-12-20|Completed|
2187|278|Final Walkthrough|2024-01-07|2024-01-05|Completed|
2188|279|Design Approval|2024-09-21|TBD|Pending|
2189|279|Materials Ordered|2024-10-02|TBD|Pending|
2190|279|Rough-In Start|2024-10-03|TBD|Pending|
2191|279|Rough-In Complete|2024-10-10|TBD|Pending|
2192|279|Trim-Out Start|2024-10-11|TBD|Pending|
2193|279|Trim-Out Complete|2024-10-19|TBD|Pending|
2194|279|Programming Start|2024-10-20|TBD|Pending|
2195|279|Programming Complete|2024-10-22|TBD|Pending|
2196|279|Final Walkthrough|2024-11-03|TBD|Pending|
2197|280|Design Approval|2021-04-06|TBD|Pending|
2198|280|Materials Ordered|2021-04-07|TBD|Pending|
2199|280|Rough-In Start|2021-04-19|TBD|Pending|
2200|280|Rough-In Complete|2021-04-27|TBD|Pending|
2201|280|Trim-Out Start|2021-05-04|TBD|Pending|
2202|280|Trim-Out Complete|2021-05-10|TBD|Pending|
2203|280|Programming Start|2021-05-27|TBD|Pending|
2204|280|Programming Complete|2021-06-04|TBD|Pending|
2205|280|Final Walkthrough|2021-06-11|TBD|Pending|
2206|281|Design Approval|2023-07-14|2023-07-16|Completed|
2207|281|Materials Ordered|2023-08-08|2023-08-08|Completed|
2208|281|Rough-In Start|2023-08-23|2023-08-23|Completed|
2209|281|Rough-In Complete|2023-09-15|2023-09-26|Completed|Delayed - Inspections
2210|281|Trim-Out Start|2023-09-29|2023-10-07|Completed|Delayed - Client Request
2211|281|Trim-Out Complete|2023-10-22|2023-10-30|Completed|Delayed - Materials
2212|281|Programming Start|2023-11-07|2023-11-01|Completed|
2213|281|Programming Complete|2023-11-27|2023-12-07|Completed|Delayed - Client Request
2214|281|Final Walkthrough|2023-12-10|2023-12-11|Completed|
2215|283|Design Approval|2024-03-04|2024-03-09|Completed|
2216|283|Materials Ordered|2024-03-21|2024-03-27|Completed|Delayed - Inspections
2217|283|Rough-In Start|2024-04-13|2024-04-25|Completed|Delayed - Client Request
2218|283|Rough-In Complete|2024-05-03|2024-05-05|Completed|
2219|283|Trim-Out Start|2024-05-15|2024-05-28|Completed|Delayed - Client Request
2220|283|Trim-Out Complete|2024-06-02|2024-05-31|Completed|
2221|283|Programming Start|2024-06-26|2024-06-27|Completed|
2222|283|Programming Complete|2024-07-11|2024-07-23|Completed|Delayed - Client Request
2223|283|Final Walkthrough|2024-07-26|2024-08-07|Completed|Delayed - Inspections
2224|286|Design Approval|2022-05-19|2022-05-21|Completed|
2225|286|Materials Ordered|2022-06-10|2022-06-03|Completed|
2226|286|Rough-In Start|2022-07-02|2022-06-28|Completed|
2227|286|Rough-In Complete|2022-07-15|2022-07-11|Completed|
2228|286|Trim-Out Start|2022-08-01|2022-08-08|Completed|Delayed - Client Request
2229|286|Trim-Out Complete|2022-08-28|2022-08-23|Completed|
2230|286|Programming Start|2022-09-11|2022-09-05|Completed|
2231|286|Programming Complete|2022-10-02|2022-10-07|Completed|
2232|286|Final Walkthrough|2022-10-21|2022-10-29|Completed|Delayed - Client Request
2233|287|Design Approval|2022-12-09|2022-12-22|Completed|Delayed - Materials
2234|287|Materials Ordered|2022-12-15|2022-12-23|Completed|
2235|287|Rough-In Start|2022-12-28|2022-12-25|Completed|
2236|287|Rough-In Complete|2022-12-29|2022-12-30|Completed|
2237|287|Trim-Out Start|2023-01-12|2023-01-22|Completed|Delayed - Materials
2238|287|Trim-Out Complete|2023-01-18|2023-01-30|Completed|Delayed - Materials
2239|287|Programming Start|2023-01-22|2023-02-03|Completed|
2240|287|Programming Complete|2023-01-26|2023-02-06|Completed|
2241|287|Final Walkthrough|2023-02-05|2023-02-17|Completed|Delayed - Inspections
2242|288|Design Approval|2024-02-27|2024-03-10|Completed|Delayed - Materials
2243|288|Materials Ordered|2024-02-28|2024-03-15|Completed|Delayed - Materials
2244|288|Rough-In Start|2024-02-29|2024-03-17|Completed|
2245|288|Rough-In Complete|2024-03-03|2024-03-24|Completed|
2246|288|Trim-Out Start|2024-03-13|2024-03-30|Completed|
2247|288|Trim-Out Complete|2024-03-14|2024-04-05|Completed|
2248|288|Programming Start|2024-03-25|2024-04-10|Completed|
2249|288|Programming Complete|2024-03-27|2024-04-10|Completed|Delayed - Inspections
2250|288|Final Walkthrough|2024-03-31|2024-04-17|Completed|
2251|289|Design Approval|2024-01-18|2024-01-18|Completed|
2252|289|Materials Ordered|2024-02-02|2024-02-11|Completed|Ahead of schedule
2253|289|Rough-In Start|2024-02-10|2024-02-20|Completed|Slight delay - Materials
2254|289|Rough-In Complete|2024-03-02|2024-03-08|Completed|Slight delay - Materials
2255|289|Trim-Out Start|2024-03-07|2024-03-08|Completed|
2256|289|Trim-Out Complete|2024-03-19|2024-03-22|Completed|
2257|289|Programming Start|2024-04-07|2024-04-03|Completed|
2258|289|Programming Complete|2024-04-14|2024-04-09|Completed|
2259|289|Final Walkthrough|2024-05-03|2024-05-04|Completed|
2260|290|Design Approval|2022-04-28|2022-05-08|Completed|Delayed - Materials
2261|290|Materials Ordered|2022-05-08|2022-05-22|Completed|Delayed - Inspections
2262|290|Rough-In Start|2022-05-30|2022-06-01|Completed|
2263|290|Rough-In Complete|2022-06-15|2022-06-12|Completed|
2264|290|Trim-Out Start|2022-07-02|2022-06-29|Completed|
2265|290|Trim-Out Complete|2022-07-22|2022-08-01|Completed|Delayed - Client Request
2266|290|Programming Start|2022-08-02|2022-08-05|Completed|
2267|290|Programming Complete|2022-08-24|2022-09-03|Completed|Delayed - Materials
2268|290|Final Walkthrough|2022-09-06|2022-09-12|Completed|Delayed - Client Request
2269|291|Design Approval|2023-03-25|2023-04-04|Completed|Delayed - Materials
2270|291|Materials Ordered|2023-04-14|2023-04-22|Completed|Delayed - Client Request
2271|291|Rough-In Start|2023-05-12|2023-05-13|Completed|
2272|291|Rough-In Complete|2023-05-25|2023-05-25|Completed|
2273|291|Trim-Out Start|2023-06-21|2023-07-02|Completed|Delayed - Materials
2274|291|Trim-Out Complete|2023-07-09|2023-07-23|Completed|Delayed - Client Request
2275|291|Programming Start|2023-07-21|2023-07-29|Completed|Delayed - Inspections
2276|291|Programming Complete|2023-08-14|2023-08-11|Completed|
2277|291|Final Walkthrough|2023-08-30|2023-09-06|Completed|Delayed - Inspections
2278|292|Design Approval|2021-06-10|2021-06-08|Completed|
2279|292|Materials Ordered|2021-06-27|2021-07-07|Completed|Delayed - Client Request
2280|292|Rough-In Start|2021-06-30|2021-07-14|Completed|Delayed - Inspections
2281|292|Rough-In Complete|2021-07-19|2021-08-01|Completed|Delayed - Inspections
2282|292|Trim-Out Start|2021-07-26|2021-08-01|Completed|Delayed - Materials
2283|292|Trim-Out Complete|2021-08-14|2021-08-11|Completed|
2284|292|Programming Start|2021-08-24|2021-08-30|Completed|Delayed - Materials
2285|292|Programming Complete|2021-09-04|2021-09-10|Completed|Delayed - Inspections
2286|292|Final Walkthrough|2021-09-15|2021-09-17|Completed|
2287|293|Design Approval|2021-01-30|2021-01-31|Completed|
2288|293|Materials Ordered|2021-02-05|2021-02-13|Completed|Ahead of schedule
2289|293|Rough-In Start|2021-02-11|2021-02-15|Completed|Slight delay - Materials
2290|293|Rough-In Complete|2021-02-18|2021-02-17|Completed|
2291|293|Trim-Out Start|2021-02-19|2021-02-23|Completed|Slight delay - Materials
2292|293|Trim-Out Complete|2021-02-25|2021-02-23|Completed|
2293|293|Programming Start|2021-03-09|2021-03-18|Completed|Slight delay - Materials
2294|293|Programming Complete|2021-03-15|2021-03-20|Completed|
2295|293|Final Walkthrough|2021-03-27|2021-03-24|Completed|
2296|295|Design Approval|2023-08-22|2023-08-21|Completed|
2297|295|Materials Ordered|2023-09-04|2023-09-03|Completed|
2298|295|Rough-In Start|2023-09-29|2023-09-26|Completed|
2299|295|Rough-In Complete|2023-10-19|2023-11-02|Completed|Delayed - Client Request
2300|295|Trim-Out Start|2023-11-10|2023-11-16|Completed|Delayed - Materials
2301|295|Trim-Out Complete|2023-11-24|2023-11-22|Completed|
2302|295|Programming Start|2023-12-20|2023-12-31|Completed|Delayed - Inspections
2303|295|Programming Complete|2024-01-08|2024-01-06|Completed|
2304|295|Final Walkthrough|2024-01-28|2024-02-07|Completed|Delayed - Inspections
2305|297|Design Approval|2024-03-12|TBD|Pending|
2306|297|Materials Ordered|2024-03-27|TBD|Pending|
2307|297|Rough-In Start|2024-04-22|TBD|Pending|
2308|297|Rough-In Complete|2024-05-04|TBD|Pending|
2309|297|Trim-Out Start|2024-05-31|TBD|Pending|
2310|297|Trim-Out Complete|2024-06-17|TBD|Pending|
2311|297|Programming Start|2024-07-01|TBD|Pending|
2312|297|Programming Complete|2024-07-23|TBD|Pending|
2313|297|Final Walkthrough|2024-08-17|TBD|Pending|
2314|298|Design Approval|2021-12-19|2021-12-26|Completed|Delayed - Materials
2315|298|Materials Ordered|2022-01-02|2022-01-10|Completed|Delayed - Inspections
2316|298|Rough-In Start|2022-01-15|2022-01-22|Completed|Delayed - Inspections
2317|298|Rough-In Complete|2022-02-08|2022-02-07|Completed|
2318|298|Trim-Out Start|2022-02-17|2022-02-23|Completed|Delayed - Client Request
2319|298|Trim-Out Complete|2022-03-01|2022-02-23|Completed|
2320|298|Programming Start|2022-03-19|2022-03-19|Completed|
2321|298|Programming Complete|2022-04-01|2022-04-01|Completed|
2322|298|Final Walkthrough|2022-04-09|2022-04-20|Completed|Delayed - Client Request
2323|299|Design Approval|2021-01-28|2021-01-26|Completed|
